,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Unnamed: 0,county,state,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute
0,Alabama,Baldwin,AlabamaBaldwin,74,49,36,27.7,31.9,91338,5425,101188,106919,42.8,208107,116,Baldwin,Alabama,108945.0,83055.0,24344.0,52562.0,1348.0,35.7,18.2,25.6,9.7,10.8,5.6,27.0
1,Alabama,Russell,AlabamaRussell,99,56,36,31.4,17.8,22290,1210,28124,30089,35.9,58213,2450,Russell,Alabama,21108.0,9796.0,11078.0,38988.0,2253.0,28.7,20.2,25.2,9.4,16.4,2.8,24.1
2,Alabama,Shelby,AlabamaShelby,71,46,28,19.8,42.9,109646,4402,102478,108783,38.9,211261,2561,Shelby,Alabama,114439.0,79428.0,33036.0,74063.0,1255.0,44.3,13.7,26.8,7.4,7.7,4.9,28.0
3,Alabama,Sumter,AlabamaSumter,70,43,29,35.4,21.6,4414,331,6014,6971,35.8,12985,2702,Sumter,Alabama,6282.0,1598.0,4639.0,21663.0,1677.0,25.5,26.9,22.6,4.9,20.1,1.8,26.1
4,Alabama,Tuscaloosa,AlabamaTuscaloosa,97,45,31,29.9,30.7,95473,6749,99539,106674,32.7,206213,2810,Tuscaloosa,Alabama,89760.0,50961.0,37514.0,50513.0,1043.0,35.8,17.5,20.9,8.7,17.2,3.1,22.3
5,Arizona,Apache,ArizonaApache,58,29,14,32.2,12.3,17614,2581,35240,36282,34.7,71522,70,Apache,Arizona,34397.0,11240.0,22730.0,32360.0,1213.0,29.7,25.4,20.6,11.5,12.8,6.2,26.7
6,Arizona,Cochise,ArizonaCochise,108,61,45,24.1,23.1,48368,3627,64135,62144,40.6,126279,577,Cochise,Arizona,57672.0,33580.0,22997.0,47847.0,1539.0,34.4,24.3,24.1,10.1,7.2,4.4,20.5
7,Arizona,Coconino,ArizonaCoconino,93,54,44,22.0,36.2,67985,7295,68918,71299,30.6,140217,580,Coconino,Arizona,73174.0,27043.0,44609.0,53523.0,2500.0,36.5,22.7,22.5,8.4,9.9,4.8,18.4
8,Arizona,Gila,ArizonaGila,174,77,47,27.9,18.7,19387,1621,26370,27030,49.7,53400,1027,Gila,Arizona,27662.0,18377.0,8943.0,41179.0,1678.0,31.6,22.8,21.4,15.3,8.9,5.0,18.7
9,Arizona,La Paz,ArizonaLa,125,58,44,31.1,12.0,8343,636,10677,10024,56.0,20701,1523,La,Arizona,7458.0,5129.0,2236.0,36479.0,4789.0,26.4,26.8,18.4,18.2,10.1,8.3,12.9
10,Arizona,Maricopa,ArizonaMaricopa,282,215,112,22.4,32.7,2159267,172361,2104145,2149768,36.1,4253913,1767,Maricopa,Arizona,2063663.0,993691.0,1038364.0,58580.0,350.0,37.4,18.1,26.7,8.4,9.5,6.4,25.8
11,Arizona,Mohave,ArizonaMohave,116,34,18,35.3,12.9,79889,8854,104047,102017,50.9,206064,1929,Mohave,Arizona,104667.0,78534.0,24831.0,41567.0,796.0,24.3,25.4,26.8,10.9,12.7,3.1,20.4
12,Arizona,Navajo,ArizonaNavajo,136,54,43,30.3,15.3,36322,4097,54533,54172,36.4,108705,2027,Navajo,Arizona,51767.0,27657.0,23383.0,38798.0,1774.0,29.3,24.7,22.8,11.7,11.5,6.6,21.6
13,Arizona,Pima,ArizonaPima,277,77,53,22.2,32.4,457683,38308,501879,517843,38.3,1019722,2247,Pima,Arizona,511127.0,202928.0,300743.0,48676.0,534.0,36.4,21.5,24.9,8.7,8.5,4.8,24.5
14,Arizona,Pinal,ArizonaPinal,1124,119,72,29.3,19.5,176674,14400,219048,200673,38.9,419721,2248,Pinal,Arizona,185398.0,106966.0,75093.0,52628.0,891.0,29.4,22.8,25.5,10.5,11.8,5.5,31.0
15,Arizona,Santa Cruz,ArizonaSanta,165,69,34,28.7,20.4,17209,2220,22285,24299,36.6,46584,2500,Santa,Arizona,19556.0,6194.0,13138.0,39630.0,2778.0,25.6,20.8,29.7,10.9,13.0,4.7,23.5
