State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes)
Alabama,Baldwin,AlabamaBaldwin,74,49,36,27.7,31.9,91338,5425,101188,106919,42.8,208107,108945,83055,24344,52562,1348,35.7,18.2,25.6,9.7,10.8,5.6,27
Alabama,Russell,AlabamaRussell,99,56,36,31.4,17.8,22290,1210,28124,30089,35.9,58213,21108,9796,11078,38988,2253,28.7,20.2,25.2,9.4,16.4,2.8,24.1
Alabama,Shelby,AlabamaShelby,71,46,28,19.8,42.9,109646,4402,102478,108783,38.9,211261,114439,79428,33036,74063,1255,44.3,13.7,26.8,7.4,7.7,4.9,28
Alabama,Sumter,AlabamaSumter,70,43,29,35.4,21.6,4414,331,6014,6971,35.8,12985,6282,1598,4639,21663,1677,25.5,26.9,22.6,4.9,20.1,1.8,26.1
Alabama,Tuscaloosa,AlabamaTuscaloosa,97,45,31,29.9,30.7,95473,6749,99539,106674,32.7,206213,89760,50961,37514,50513,1043,35.8,17.5,20.9,8.7,17.2,3.1,22.3
Arizona,Apache,ArizonaApache,58,29,14,32.2,12.3,17614,2581,35240,36282,34.7,71522,34397,11240,22730,32360,1213,29.7,25.4,20.6,11.5,12.8,6.2,26.7
Arizona,Cochise,ArizonaCochise,108,61,45,24.1,23.1,48368,3627,64135,62144,40.6,126279,57672,33580,22997,47847,1539,34.4,24.3,24.1,10.1,7.2,4.4,20.5
Arizona,Coconino,ArizonaCoconino,93,54,44,22,36.2,67985,7295,68918,71299,30.6,140217,73174,27043,44609,53523,2500,36.5,22.7,22.5,8.4,9.9,4.8,18.4
Arizona,Gila,ArizonaGila,174,77,47,27.9,18.7,19387,1621,26370,27030,49.7,53400,27662,18377,8943,41179,1678,31.6,22.8,21.4,15.3,8.9,5,18.7
Arizona,La Paz,ArizonaLa,125,58,44,31.1,12,8343,636,10677,10024,56,20701,7458,5129,2236,36479,4789,26.4,26.8,18.4,18.2,10.1,8.3,12.9
Arizona,Maricopa,ArizonaMaricopa,282,215,112,22.4,32.7,2159267,172361,2104145,2149768,36.1,4253913,2063663,993691,1038364,58580,350,37.4,18.1,26.7,8.4,9.5,6.4,25.8
Arizona,Mohave,ArizonaMohave,116,34,18,35.3,12.9,79889,8854,104047,102017,50.9,206064,104667,78534,24831,41567,796,24.3,25.4,26.8,10.9,12.7,3.1,20.4
Arizona,Navajo,ArizonaNavajo,136,54,43,30.3,15.3,36322,4097,54533,54172,36.4,108705,51767,27657,23383,38798,1774,29.3,24.7,22.8,11.7,11.5,6.6,21.6
Arizona,Pima,ArizonaPima,277,77,53,22.2,32.4,457683,38308,501879,517843,38.3,1019722,511127,202928,300743,48676,534,36.4,21.5,24.9,8.7,8.5,4.8,24.5
Arizona,Pinal,ArizonaPinal,1124,119,72,29.3,19.5,176674,14400,219048,200673,38.9,419721,185398,106966,75093,52628,891,29.4,22.8,25.5,10.5,11.8,5.5,31
Arizona,Santa Cruz,ArizonaSanta,165,69,34,28.7,20.4,17209,2220,22285,24299,36.6,46584,19556,6194,13138,39630,2778,25.6,20.8,29.7,10.9,13,4.7,23.5
Arizona,Yavapai,ArizonaYavapai,119,61,45,25.8,25.9,98978,8007,109795,114850,52.9,224645,143221,91527,49602,48259,1287,31.9,22.7,24.5,11.1,9.8,7.3,23.2
Arizona,Yuma,ArizonaYuma,321,69,44,25.7,15,81310,16810,106973,100856,34.3,207829,68427,35766,31562,43253,1376,24.9,23,22.8,17.4,12,3,19.6
Arkansas,Arkansas,ArkansasArkansas,82,50,27,34,23,1272344,81952,8733,9391,41.4,18124,6284,4301,1813,38532,2759,27.7,15.5,23.6,8.5,24.7,3.1,14.6
Arkansas,Arkansas,ArkansasArkansas,82,50,27,34,23,9044,378,8733,9391,41.4,18124,6284,4301,1813,38532,2759,27.7,15.5,23.6,8.5,24.7,3.1,14.6
Arkansas,Ashley,ArkansasAshley,89,49,28,43.7,12.3,6518,668,10013,10524,41.7,20537,7926,5548,2125,36407,2317,27.5,16.8,18.9,13.7,23,1.6,20.4
Arkansas,Clark,ArkansasClark,67,40,29,30.2,26.6,8765,549,10628,11757,34.1,22385,8358,4605,3413,37144,2739,33.6,20.6,23.7,7.8,14.3,3.8,21.3
Arkansas,Crittenden,ArkansasCrittenden,115,54,38,34.8,17.4,19459,1750,23271,25742,35.1,49013,16086,7244,8325,38558,3004,29.4,18.4,23.1,10.2,18.8,3.4,19.9
Arkansas,Garland,ArkansasGarland,83,53,29,31.4,21.6,38052,3295,47182,51114,44.9,98296,44193,29065,14043,41672,1593,31.8,20.4,25.6,11.2,11,4.8,21.9
Arkansas,Jackson,ArkansasJackson,77,51,26,42.5,10.1,5444,419,8512,8713,39.9,17225,5076,3583,1360,32783,2974,22.3,18.3,20.7,15.4,23.3,4.1,19.1
Arkansas,Newton,ArkansasNewton,84,45,35,35.4,20.5,3084,162,3932,3916,49.1,7848,3998,3192,709,38134,4984,27.8,21.1,18.6,16.1,16.5,5.1,30.5
Arkansas,Polk,ArkansasPolk,84,47,36,36.5,14.1,7482,531,9828,10335,43.7,20163,8468,7018,1242,33870,2290,28.4,15.7,22.4,15.4,18.1,2.5,23
Arkansas,Pulaski,ArkansasPulaski,132,59,42,26,34.3,174884,14044,188496,204967,36.9,393463,165468,62389,98855,48850,1099,41.2,16.7,25.4,6.8,10,3.4,20.3
Arkansas,Union,ArkansasUnion,89,52,34,35.5,21.1,14325,1297,19332,20400,40.1,39732,16548,10446,5559,41106,2148,33.4,13.4,25,11.4,16.8,1.7,19
Arkansas,Washington,ArkansasWashington,150,52,39,25.7,33.3,120346,5795,114181,114348,31.8,228529,93467,47229,43327,47452,1026,37.5,16.1,22.8,9.5,14.2,3.5,21.5
California,Alameda,CaliforniaAlameda,218,79,43,17.6,47.4,742411,71396,807171,836529,37.4,1643700,750128,131985,602851,85743,940,48,16,20.4,6.4,9.2,6,32.5
California,Amador,CaliforniaAmador,156,50,37,27.5,19.3,13107,1317,20302,17527,50.5,37829,22282,13571,8147,60636,2765,32.7,23.2,24.1,9.9,10.1,6.4,32
California,Butte,CaliforniaButte,379,110,51,22.5,27.2,84095,8509,112513,114562,37.1,227075,99780,47568,49402,46516,1130,35.9,22.2,22.7,9.2,10.1,5.7,20.1
California,Calaveras,CaliforniaCalaveras,192,77,44,28,18.3,19588,1619,22434,22801,52.1,45235,26717,16287,9845,54800,3529,35.6,18.4,22.9,11.6,11.5,8.3,35.5
California,Colusa,CaliforniaColusa,198,86,38,26.2,15,8824,1675,11124,10340,35.1,21464,7672,4399,3114,56481,4858,24.2,19.2,16.6,26.2,13.8,4.5,24.7
California,Contra Costa,CaliforniaContra,197,74,41,17.3,42.4,493236,48020,553701,579546,39.4,1133247,567882,148623,407639,88456,822,43,18,23.1,7.9,7.9,6.3,37.1
California,Del Norte,CaliforniaDel,220,55,32,31,14.8,8466,884,14575,12849,38.6,27424,11403,6434,4656,41287,4114,32.5,31.7,19.9,8.6,7.3,5.6,14.4
California,El Dorado,CaliforniaEl,190,90,43,21.3,34.3,83262,7490,93040,93621,45.8,186661,114766,60967,51157,74885,2565,41.4,19,24.2,8.2,7,8.3,29.1
California,Fresno,CaliforniaFresno,298,153,74,22.7,21.2,395258,50260,487936,490194,32,978130,356004,160689,188224,48730,655,29.1,19.6,23,14.8,13.5,4.3,22.4
California,Glenn,CaliforniaGlenn,197,82,43,27.2,14.2,11455,1113,14171,13726,36.6,27897,10890,6854,3815,46260,3402,22.6,19.7,17.8,23.9,16,5.7,24
California,Humboldt,CaliforniaHumboldt,109,44,29,22.2,30.4,54446,4965,67666,68102,38,135768,45961,13756,31010,43718,1579,33.9,23.1,23.6,10.3,9.1,7.4,18.2
California,Imperial,CaliforniaImperial,166,97,58,24.3,15.2,53949,15653,92250,87966,32.4,180216,38727,13401,24551,44779,1850,24.4,24.3,24.7,13.4,13.1,4.4,20.8
California,Inyo,CaliforniaInyo,684,130,52,28.6,27.2,7658,647,9084,9001,45.7,18085,9147,4436,4495,51500,4578,31.5,23,22.4,14.5,8.7,4.5,16.9
California,Kern,CaliforniaKern,267,140,81,27.8,16.4,335707,48062,452646,430407,31.5,883053,183717,94844,84946,50826,771,26.4,18.4,20.6,21.2,13.4,3.2,23.4
California,Kings,CaliforniaKings,543,124,67,25.3,14.7,49883,6533,82674,67401,31.7,150075,41933,23169,17729,49742,1744,24.4,21.4,20.8,19.5,13.8,5,22.4
California,Lake,CaliforniaLake,180,43,32,30.5,15.5,25567,2700,31879,32269,45.6,64148,11038,3955,6874,40446,2857,25.8,26.5,21.4,16.1,10.1,12.5,28.9
California,Los Angeles,CaliforniaLos,235,165,83,20.6,32.5,4291688,629811,4976788,5121264,36.2,10098052,4139895,1107090,2947568,61015,262,36.4,19,24.1,7.6,12.8,5.3,30.9
California,Madera,CaliforniaMadera,250,113,61,24.9,14.6,55089,6649,74683,80330,33.9,155013,52029,28458,22438,48210,2108,23.9,17.3,22,23,13.8,3.6,25.6
