,State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,IncomeErr,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes),Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass
0,Alabama,Baldwin,AlabamaBaldwin,74,49,36,27.7,31.9,91338,5425,101188,106919,42.8,208107,108945.0,83055.0,24344.0,52562,1348,35.7,18.2,25.6,9.7,10.8,5.6,27.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Alabama,Russell,AlabamaRussell,99,56,36,31.4,17.8,22290,1210,28124,30089,35.9,58213,21108.0,9796.0,11078.0,38988,2253,28.7,20.2,25.2,9.4,16.4,2.8,24.1,0,0,6,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,2,0,0,0,2
2,Alabama,Shelby,AlabamaShelby,71,46,28,19.8,42.9,109646,4402,102478,108783,38.9,211261,114439.0,79428.0,33036.0,74063,1255,44.3,13.7,26.8,7.4,7.7,4.9,28.0,0,0,0,1,0,0,0,0,0,6,28,0,5,0,0,0,0,0,0,0,0,17,4,0,0,0
3,Indiana,Shelby,IndianaShelby,115,46,32,42.4,18.7,21443,1643,21941,22458,41.0,44399,20017.0,14568.0,5023.0,57216,2445,28.7,17.1,19.9,11.4,22.9,2.5,23.5,0,0,0,1,0,0,0,0,0,6,28,0,5,0,0,0,0,0,0,0,0,17,4,0,0,0
4,Tennessee,Shelby,TennesseeShelby,152,61,44,27.5,31.6,404507,43262,445994,491011,35.4,937005,381858.0,129543.0,245208.0,48415,621,35.1,18.0,24.7,6.8,15.3,3.2,22.9,0,0,0,1,0,0,0,0,0,6,28,0,5,0,0,0,0,0,0,0,0,17,4,0,0,0
5,Alabama,Sumter,AlabamaSumter,70,43,29,35.4,21.6,4414,331,6014,6971,35.8,12985,6282.0,1598.0,4639.0,21663,1677,25.5,26.9,22.6,4.9,20.1,1.8,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,Georgia,Sumter,GeorgiaSumter,64,44,32,34.7,18.3,11601,924,14359,15993,35.5,30352,12150.0,5732.0,6318.0,34219,2587,31.2,17.8,20.6,9.0,21.4,3.3,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,Alabama,Tuscaloosa,AlabamaTuscaloosa,97,45,31,29.9,30.7,95473,6749,99539,106674,32.7,206213,89760.0,50961.0,37514.0,50513,1043,35.8,17.5,20.9,8.7,17.2,3.1,22.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Arizona,Apache,ArizonaApache,58,29,14,32.2,12.3,17614,2581,35240,36282,34.7,71522,34397.0,11240.0,22730.0,32360,1213,29.7,25.4,20.6,11.5,12.8,6.2,26.7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
9,Arizona,Cochise,ArizonaCochise,108,61,45,24.1,23.1,48368,3627,64135,62144,40.6,126279,57672.0,33580.0,22997.0,47847,1539,34.4,24.3,24.1,10.1,7.2,4.4,20.5,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,1,6,0,0,0
