,State_x,Area_name,First Word of Each County,# Employed,State_y,# Unemployed
0,US,United States,United,147677360.0,US,12933704.0
1,AL,Alabama,Alabama,2099062.0,AL,131056.0
2,AL,"Autauga County, AL",Autauga,24576.0,AL,1262.0
3,AL,"Baldwin County, AL",Baldwin,91338.0,AL,5425.0
4,AL,"Barbour County, AL",Barbour,7982.0,AL,605.0
5,AL,"Bibb County, AL",Bibb,8067.0,AL,573.0
6,AL,"Blount County, AL",Blount,23653.0,AL,1008.0
7,AL,"Bullock County, AL",Bullock,4553.0,AL,265.0
8,AL,"Butler County, AL",Butler,8255.0,AL,801.0
9,AL,"Calhoun County, AL",Calhoun,42980.0,AL,3260.0
10,AL,"Chambers County, AL",Chambers,14787.0,AL,1078.0
11,AL,"Cherokee County, AL",Cherokee,10983.0,AL,530.0
12,AL,"Chilton County, AL",Chilton,18618.0,AL,974.0
13,AL,"Choctaw County, AL",Choctaw,4313.0,AL,308.0
14,AL,"Clarke County, AL",Clarke,7069.0,AL,700.0
15,AL,"Clay County, AL",Clay,5838.0,AL,245.0
16,AL,"Cleburne County, AL",Cleburne,5475.0,AL,262.0
17,AL,"Coffee County, AL",Coffee,20558.0,AL,944.0
18,AL,"Colbert County, AL",Colbert,22008.0,AL,1550.0
19,AL,"Conecuh County, AL",Conecuh,4198.0,AL,331.0
20,AL,"Coosa County, AL",Coosa,4150.0,AL,242.0
21,AL,"Covington County, AL",Covington,14434.0,AL,738.0
22,AL,"Crenshaw County, AL",Crenshaw,5896.0,AL,357.0
23,AL,"Cullman County, AL",Cullman,36660.0,AL,1650.0
24,AL,"Dale County, AL",Dale,19701.0,AL,1009.0
25,AL,"Dallas County, AL",Dallas,13049.0,AL,1570.0
26,AL,"DeKalb County, AL",DeKalb,29348.0,AL,1388.0
27,AL,"Elmore County, AL",Elmore,34843.0,AL,1777.0
28,AL,"Escambia County, AL",Escambia,13589.0,AL,864.0
29,AL,"Etowah County, AL",Etowah,37598.0,AL,3126.0
30,AL,"Fayette County, AL",Fayette,6236.0,AL,326.0
31,AL,"Franklin County, AL",Franklin,13786.0,AL,638.0
32,AL,"Geneva County, AL",Geneva,10391.0,AL,444.0
33,AL,"Greene County, AL",Greene,2687.0,AL,328.0
34,AL,"Hale County, AL",Hale,5503.0,AL,572.0
35,AL,"Henry County, AL",Henry,6487.0,AL,327.0
36,AL,"Houston County, AL",Houston,43861.0,AL,2497.0
37,AL,"Jackson County, AL",Jackson,21637.0,AL,1203.0
38,AL,"Jefferson County, AL",Jefferson,296282.0,AL,19675.0
39,AL,"Lamar County, AL",Lamar,5452.0,AL,278.0
40,AL,"Lauderdale County, AL",Lauderdale,39610.0,AL,2321.0
41,AL,"Lawrence County, AL",Lawrence,13660.0,AL,703.0
42,AL,"Lee County, AL",Lee,71629.0,AL,3935.0
43,AL,"Limestone County, AL",Limestone,42724.0,AL,1900.0
44,AL,"Lowndes County, AL",Lowndes,3173.0,AL,488.0
45,AL,"Macon County, AL",Macon,7290.0,AL,773.0
46,AL,"Madison County, AL",Madison,178579.0,AL,8668.0
47,AL,"Marengo County, AL",Marengo,7281.0,AL,485.0
48,AL,"Marion County, AL",Marion,12373.0,AL,661.0
49,AL,"Marshall County, AL",Marshall,42430.0,AL,1845.0
50,AL,"Mobile County, AL",Mobile,175761.0,AL,15121.0
51,AL,"Monroe County, AL",Monroe,6864.0,AL,610.0
52,AL,"Montgomery County, AL",Montgomery,98735.0,AL,8368.0
53,AL,"Morgan County, AL",Morgan,56265.0,AL,2634.0
54,AL,"Perry County, AL",Perry,3064.0,AL,373.0
55,AL,"Pickens County, AL",Pickens,7161.0,AL,499.0
56,AL,"Pike County, AL",Pike,14864.0,AL,772.0
57,AL,"Randolph County, AL",Randolph,8967.0,AL,447.0
58,AL,"Russell County, AL",Russell,22290.0,AL,1210.0
59,AL,"St. Clair County, AL",St.,38146.0,AL,1986.0
60,AL,"Shelby County, AL",Shelby,109646.0,AL,4402.0
61,AL,"Sumter County, AL",Sumter,4414.0,AL,331.0
62,AL,"Talladega County, AL",Talladega,33591.0,AL,2532.0
63,AL,"Tallapoosa County, AL",Tallapoosa,16625.0,AL,1239.0
64,AL,"Tuscaloosa County, AL",Tuscaloosa,95473.0,AL,6749.0
65,AL,"Walker County, AL",Walker,23431.0,AL,1446.0
66,AL,"Washington County, AL",Washington,6190.0,AL,539.0
67,AL,"Wilcox County, AL",Wilcox,2448.0,AL,423.0
68,AL,"Winston County, AL",Winston,9542.0,AL,475.0
69,AK,Alaska,Alaska,320219.0,AK,27195.0
70,AK,"Aleutians East Borough, AK",Aleutians,2423.0,AK,100.0
71,AK,"Aleutians West Census Area, AK",Aleutians,3563.0,AK,169.0
72,AK,"Anchorage Borough/municipality, AK",Anchorage,137421.0,AK,10971.0
73,AK,"Bethel Census Area, AK",Bethel,6158.0,AK,805.0
74,AK,"Bristol Bay Borough, AK",Bristol,386.0,AK,31.0
75,AK,"Denali Borough, AK",Denali,573.0,AK,107.0
76,AK,"Dillingham Census Area, AK",Dillingham,1599.0,AK,143.0
77,AK,"Fairbanks North Star Borough, AK",Fairbanks,41838.0,AK,2841.0
78,AK,"Haines Borough, AK",Haines,859.0,AK,159.0
79,AK,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon,908.0,AK,142.0
80,AK,"Juneau Borough/city, AK",Juneau,15293.0,AK,1081.0
81,AK,"Kenai Peninsula Borough, AK",Kenai,23948.0,AK,2393.0
82,AK,"Ketchikan Gateway Borough, AK",Ketchikan,5893.0,AK,627.0
83,AK,"Kodiak Island Borough, AK",Kodiak,5710.0,AK,380.0
84,AK,"Kusilvak Census Area, AK",Kusilvak,1854.0,AK,445.0
85,AK,"Lake and Peninsula Borough, AK",Lake,624.0,AK,65.0
86,AK,"Matanuska-Susitna Borough, AK",Matanuska-Susitna,43858.0,AK,3990.0
87,AK,"Nome Census Area, AK",Nome,3516.0,AK,411.0
88,AK,"North Slope Borough, AK",North,3011.0,AK,189.0
89,AK,"Northwest Arctic Borough, AK",Northwest,2590.0,AK,352.0
90,AK,"Petersburg Borough, AK",Petersburg,1292.0,AK,123.0
91,AK,"Prince of Wales-Hyder Census Area, AK",Prince,2568.0,AK,260.0
92,AK,"Sitka Borough/city, AK",Sitka,3847.0,AK,285.0
93,AK,"Skagway Municipality, AK",Skagway,476.0,AK,130.0
94,AK,"Southeast Fairbanks Census Area, AK",Southeast,2717.0,AK,217.0
95,AK,"Valdez-Cordova Census Area, AK",Valdez-Cordova,4127.0,AK,395.0
96,AK,"Wrangell Borough/city, AK",Wrangell,901.0,AK,83.0
97,AK,"Yakutat Borough/city, AK",Yakutat,238.0,AK,22.0
98,AK,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk,2028.0,AK,280.0
99,AZ,Arizona,Arizona,3288150.0,AZ,282070.0
100,AZ,"Apache County, AZ",Apache,17614.0,AZ,2581.0
101,AZ,"Cochise County, AZ",Cochise,48368.0,AZ,3627.0
102,AZ,"Coconino County, AZ",Coconino,67985.0,AZ,7295.0
103,AZ,"Gila County, AZ",Gila,19387.0,AZ,1621.0
104,AZ,"Graham County, AZ",Graham,14911.0,AZ,1008.0
105,AZ,"Greenlee County, AZ",Greenlee,4210.0,AZ,244.0
106,AZ,"La Paz County, AZ",La,8343.0,AZ,636.0
107,AZ,"Maricopa County, AZ",Maricopa,2159267.0,AZ,172361.0
108,AZ,"Mohave County, AZ",Mohave,79889.0,AZ,8854.0
109,AZ,"Navajo County, AZ",Navajo,36322.0,AZ,4097.0
110,AZ,"Pima County, AZ",Pima,457683.0,AZ,38308.0
111,AZ,"Pinal County, AZ",Pinal,176674.0,AZ,14400.0
112,AZ,"Santa Cruz County, AZ",Santa,17209.0,AZ,2220.0
113,AZ,"Yavapai County, AZ",Yavapai,98978.0,AZ,8007.0
114,AZ,"Yuma County, AZ",Yuma,81310.0,AZ,16810.0
115,AR,Arkansas,Arkansas,1272344.0,AR,81952.0
116,AR,"Arkansas County, AR",Arkansas,9044.0,AR,378.0
117,AR,"Ashley County, AR",Ashley,6518.0,AR,668.0
118,AR,"Baxter County, AR",Baxter,15547.0,AR,981.0
119,AR,"Benton County, AR",Benton,133784.0,AR,6231.0
120,AR,"Boone County, AR",Boone,14934.0,AR,830.0
121,AR,"Bradley County, AR",Bradley,4130.0,AR,256.0
122,AR,"Calhoun County, AR",Calhoun,2301.0,AR,125.0
123,AR,"Carroll County, AR",Carroll,11989.0,AR,720.0
124,AR,"Chicot County, AR",Chicot,2914.0,AR,336.0
125,AR,"Clark County, AR",Clark,8765.0,AR,549.0
126,AR,"Clay County, AR",Clay,5186.0,AR,333.0
127,AR,"Cleburne County, AR",Cleburne,8460.0,AR,697.0
128,AR,"Cleveland County, AR",Cleveland,3008.0,AR,195.0
129,AR,"Columbia County, AR",Columbia,8433.0,AR,620.0
130,AR,"Conway County, AR",Conway,7888.0,AR,504.0
131,AR,"Craighead County, AR",Craighead,52803.0,AR,2972.0
132,AR,"Crawford County, AR",Crawford,24998.0,AR,1438.0
133,AR,"Crittenden County, AR",Crittenden,19459.0,AR,1750.0
134,AR,"Cross County, AR",Cross,6847.0,AR,444.0
135,AR,"Dallas County, AR",Dallas,2681.0,AR,151.0
136,AR,"Desha County, AR",Desha,4948.0,AR,373.0
137,AR,"Drew County, AR",Drew,7196.0,AR,534.0
138,AR,"Faulkner County, AR",Faulkner,58321.0,AR,3361.0
139,AR,"Franklin County, AR",Franklin,7059.0,AR,419.0
140,AR,"Fulton County, AR",Fulton,4671.0,AR,253.0
141,AR,"Garland County, AR",Garland,38052.0,AR,3295.0
142,AR,"Grant County, AR",Grant,7796.0,AR,426.0
143,AR,"Greene County, AR",Greene,18292.0,AR,1158.0
144,AR,"Hempstead County, AR",Hempstead,9094.0,AR,499.0
145,AR,"Hot Spring County, AR",Hot,13285.0,AR,815.0
146,AR,"Howard County, AR",Howard,5257.0,AR,276.0
147,AR,"Independence County, AR",Independence,15711.0,AR,959.0
148,AR,"Izard County, AR",Izard,4249.0,AR,391.0
149,AR,"Jackson County, AR",Jackson,5444.0,AR,419.0
150,AR,"Jefferson County, AR",Jefferson,25194.0,AR,2204.0
151,AR,"Johnson County, AR",Johnson,9482.0,AR,638.0
152,AR,"Lafayette County, AR",Lafayette,2236.0,AR,185.0
153,AR,"Lawrence County, AR",Lawrence,6369.0,AR,417.0
154,AR,"Lee County, AR",Lee,2595.0,AR,210.0
155,AR,"Lincoln County, AR",Lincoln,3605.0,AR,229.0
156,AR,"Little River County, AR",Little,5038.0,AR,347.0
157,AR,"Logan County, AR",Logan,8081.0,AR,575.0
158,AR,"Lonoke County, AR",Lonoke,31692.0,AR,1858.0
159,AR,"Madison County, AR",Madison,7126.0,AR,287.0
160,AR,"Marion County, AR",Marion,5848.0,AR,403.0
161,AR,"Miller County, AR",Miller,18047.0,AR,1332.0
162,AR,"Mississippi County, AR",Mississippi,15705.0,AR,1559.0
163,AR,"Monroe County, AR",Monroe,2539.0,AR,182.0
164,AR,"Montgomery County, AR",Montgomery,2778.0,AR,203.0
165,AR,"Nevada County, AR",Nevada,3342.0,AR,208.0
166,AR,"Newton County, AR",Newton,3084.0,AR,162.0
167,AR,"Ouachita County, AR",Ouachita,9229.0,AR,592.0
168,AR,"Perry County, AR",Perry,3956.0,AR,232.0
169,AR,"Phillips County, AR",Phillips,5822.0,AR,580.0
170,AR,"Pike County, AR",Pike,4020.0,AR,252.0
171,AR,"Poinsett County, AR",Poinsett,9374.0,AR,545.0
172,AR,"Polk County, AR",Polk,7482.0,AR,531.0
173,AR,"Pope County, AR",Pope,26138.0,AR,1637.0
174,AR,"Prairie County, AR",Prairie,3415.0,AR,193.0
175,AR,"Pulaski County, AR",Pulaski,174884.0,AR,14044.0
176,AR,"Randolph County, AR",Randolph,7005.0,AR,439.0
177,AR,"St. Francis County, AR",St.,7394.0,AR,634.0
178,AR,"Saline County, AR",Saline,55241.0,AR,2940.0
179,AR,"Scott County, AR",Scott,4159.0,AR,195.0
180,AR,"Searcy County, AR",Searcy,2701.0,AR,184.0
181,AR,"Sebastian County, AR",Sebastian,52803.0,AR,3355.0
182,AR,"Sevier County, AR",Sevier,5202.0,AR,322.0
183,AR,"Sharp County, AR",Sharp,5309.0,AR,408.0
184,AR,"Stone County, AR",Stone,4290.0,AR,328.0
185,AR,"Union County, AR",Union,14325.0,AR,1297.0
186,AR,"Van Buren County, AR",Van,5349.0,AR,409.0
187,AR,"Washington County, AR",Washington,120346.0,AR,5795.0
188,AR,"White County, AR",White,31855.0,AR,2117.0
189,AR,"Woodruff County, AR",Woodruff,2631.0,AR,163.0
190,AR,"Yell County, AR",Yell,7592.0,AR,405.0
191,CA,California,California,16913078.0,CA,1908089.0
192,CA,"Alameda County, CA",Alameda,742411.0,CA,71396.0
193,CA,"Alpine County, CA",Alpine,459.0,CA,58.0
194,CA,"Amador County, CA",Amador,13107.0,CA,1317.0
195,CA,"Butte County, CA",Butte,84095.0,CA,8509.0
196,CA,"Calaveras County, CA",Calaveras,19588.0,CA,1619.0
197,CA,"Colusa County, CA",Colusa,8824.0,CA,1675.0
198,CA,"Contra Costa County, CA",Contra,493236.0,CA,48020.0
199,CA,"Del Norte County, CA",Del,8466.0,CA,884.0
200,CA,"El Dorado County, CA",El,83262.0,CA,7490.0
201,CA,"Fresno County, CA",Fresno,395258.0,CA,50260.0
202,CA,"Glenn County, CA",Glenn,11455.0,CA,1113.0
203,CA,"Humboldt County, CA",Humboldt,54446.0,CA,4965.0
204,CA,"Imperial County, CA",Imperial,53949.0,CA,15653.0
205,CA,"Inyo County, CA",Inyo,7658.0,CA,647.0
206,CA,"Kern County, CA",Kern,335707.0,CA,48062.0
207,CA,"Kings County, CA",Kings,49883.0,CA,6533.0
208,CA,"Lake County, CA",Lake,25567.0,CA,2700.0
209,CA,"Lassen County, CA",Lassen,8785.0,CA,676.0
210,CA,"Los Angeles County, CA",Los,4291688.0,CA,629811.0
211,CA,"Madera County, CA",Madera,55089.0,CA,6649.0
212,CA,"Marin County, CA",Marin,121476.0,CA,8662.0
213,CA,"Mariposa County, CA",Mariposa,6381.0,CA,781.0
214,CA,"Mendocino County, CA",Mendocino,33723.0,CA,3292.0
215,CA,"Merced County, CA",Merced,100755.0,CA,13981.0
216,CA,"Modoc County, CA",Modoc,2900.0,CA,270.0
217,CA,"Mono County, CA",Mono,6917.0,CA,929.0
218,CA,"Monterey County, CA",Monterey,190389.0,CA,23082.0
219,CA,"Napa County, CA",Napa,62853.0,CA,6014.0
220,CA,"Nevada County, CA",Nevada,42787.0,CA,3702.0
221,CA,"Orange County, CA",Orange,1416738.0,CA,136563.0
222,CA,"Placer County, CA",Placer,171319.0,CA,13573.0
223,CA,"Plumas County, CA",Plumas,6753.0,CA,806.0
224,CA,"Riverside County, CA",Riverside,997725.0,CA,109998.0
225,CA,"Sacramento County, CA",Sacramento,641624.0,CA,65558.0
226,CA,"San Benito County, CA",San,28409.0,CA,3119.0
227,CA,"San Bernardino County, CA",San,874911.0,CA,91295.0
228,CA,"San Diego County, CA",San,1396547.0,CA,141814.0
229,CA,"San Francisco County/city, CA",San,512531.0,CA,43525.0
230,CA,"San Joaquin County, CA",San,294454.0,CA,37374.0
231,CA,"San Luis Obispo County, CA",San,122495.0,CA,10195.0
