,State,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
0,US,United States,United,USUnited,147677360,12933704
1,Alabama,Alabama,Alabama,AlabamaAlabama,2099062,131056
2,Alabama,"Autauga County, AL",Autauga,AlabamaAutauga,24576,1262
3,Alabama,"Baldwin County, AL",Baldwin,AlabamaBaldwin,91338,5425
4,Alabama,"Barbour County, AL",Barbour,AlabamaBarbour,7982,605
5,Alabama,"Bibb County, AL",Bibb,AlabamaBibb,8067,573
6,Alabama,"Blount County, AL",Blount,AlabamaBlount,23653,1008
7,Alabama,"Bullock County, AL",Bullock,AlabamaBullock,4553,265
8,Alabama,"Butler County, AL",Butler,AlabamaButler,8255,801
9,Alabama,"Calhoun County, AL",Calhoun,AlabamaCalhoun,42980,3260
10,Alabama,"Chambers County, AL",Chambers,AlabamaChambers,14787,1078
11,Alabama,"Cherokee County, AL",Cherokee,AlabamaCherokee,10983,530
12,Alabama,"Chilton County, AL",Chilton,AlabamaChilton,18618,974
13,Alabama,"Choctaw County, AL",Choctaw,AlabamaChoctaw,4313,308
14,Alabama,"Clarke County, AL",Clarke,AlabamaClarke,7069,700
15,Alabama,"Clay County, AL",Clay,AlabamaClay,5838,245
16,Alabama,"Cleburne County, AL",Cleburne,AlabamaCleburne,5475,262
17,Alabama,"Coffee County, AL",Coffee,AlabamaCoffee,20558,944
18,Alabama,"Colbert County, AL",Colbert,AlabamaColbert,22008,1550
19,Alabama,"Conecuh County, AL",Conecuh,AlabamaConecuh,4198,331
20,Alabama,"Coosa County, AL",Coosa,AlabamaCoosa,4150,242
21,Alabama,"Covington County, AL",Covington,AlabamaCovington,14434,738
22,Alabama,"Crenshaw County, AL",Crenshaw,AlabamaCrenshaw,5896,357
23,Alabama,"Cullman County, AL",Cullman,AlabamaCullman,36660,1650
24,Alabama,"Dale County, AL",Dale,AlabamaDale,19701,1009
25,Alabama,"Dallas County, AL",Dallas,AlabamaDallas,13049,1570
26,Alabama,"DeKalb County, AL",DeKalb,AlabamaDeKalb,29348,1388
27,Alabama,"Elmore County, AL",Elmore,AlabamaElmore,34843,1777
28,Alabama,"Escambia County, AL",Escambia,AlabamaEscambia,13589,864
29,Alabama,"Etowah County, AL",Etowah,AlabamaEtowah,37598,3126
30,Alabama,"Fayette County, AL",Fayette,AlabamaFayette,6236,326
31,Alabama,"Franklin County, AL",Franklin,AlabamaFranklin,13786,638
32,Alabama,"Geneva County, AL",Geneva,AlabamaGeneva,10391,444
33,Alabama,"Greene County, AL",Greene,AlabamaGreene,2687,328
34,Alabama,"Hale County, AL",Hale,AlabamaHale,5503,572
35,Alabama,"Henry County, AL",Henry,AlabamaHenry,6487,327
36,Alabama,"Houston County, AL",Houston,AlabamaHouston,43861,2497
37,Alabama,"Jackson County, AL",Jackson,AlabamaJackson,21637,1203
38,Alabama,"Jefferson County, AL",Jefferson,AlabamaJefferson,296282,19675
39,Alabama,"Lamar County, AL",Lamar,AlabamaLamar,5452,278
40,Alabama,"Lauderdale County, AL",Lauderdale,AlabamaLauderdale,39610,2321
41,Alabama,"Lawrence County, AL",Lawrence,AlabamaLawrence,13660,703
42,Alabama,"Lee County, AL",Lee,AlabamaLee,71629,3935
43,Alabama,"Limestone County, AL",Limestone,AlabamaLimestone,42724,1900
44,Alabama,"Lowndes County, AL",Lowndes,AlabamaLowndes,3173,488
45,Alabama,"Macon County, AL",Macon,AlabamaMacon,7290,773
46,Alabama,"Madison County, AL",Madison,AlabamaMadison,178579,8668
47,Alabama,"Marengo County, AL",Marengo,AlabamaMarengo,7281,485
48,Alabama,"Marion County, AL",Marion,AlabamaMarion,12373,661
49,Alabama,"Marshall County, AL",Marshall,AlabamaMarshall,42430,1845
50,Alabama,"Mobile County, AL",Mobile,AlabamaMobile,175761,15121
51,Alabama,"Monroe County, AL",Monroe,AlabamaMonroe,6864,610
52,Alabama,"Montgomery County, AL",Montgomery,AlabamaMontgomery,98735,8368
53,Alabama,"Morgan County, AL",Morgan,AlabamaMorgan,56265,2634
54,Alabama,"Perry County, AL",Perry,AlabamaPerry,3064,373
55,Alabama,"Pickens County, AL",Pickens,AlabamaPickens,7161,499
56,Alabama,"Pike County, AL",Pike,AlabamaPike,14864,772
57,Alabama,"Randolph County, AL",Randolph,AlabamaRandolph,8967,447
58,Alabama,"Russell County, AL",Russell,AlabamaRussell,22290,1210
59,Alabama,"St. Clair County, AL",St.,AlabamaSt.,38146,1986
60,Alabama,"Shelby County, AL",Shelby,AlabamaShelby,109646,4402
61,Alabama,"Sumter County, AL",Sumter,AlabamaSumter,4414,331
62,Alabama,"Talladega County, AL",Talladega,AlabamaTalladega,33591,2532
63,Alabama,"Tallapoosa County, AL",Tallapoosa,AlabamaTallapoosa,16625,1239
64,Alabama,"Tuscaloosa County, AL",Tuscaloosa,AlabamaTuscaloosa,95473,6749
65,Alabama,"Walker County, AL",Walker,AlabamaWalker,23431,1446
66,Alabama,"Washington County, AL",Washington,AlabamaWashington,6190,539
67,Alabama,"Wilcox County, AL",Wilcox,AlabamaWilcox,2448,423
68,Alabama,"Winston County, AL",Winston,AlabamaWinston,9542,475
69,Alaska,Alaska,Alaska,AlaskaAlaska,320219,27195
70,Alaska,"Aleutians East Borough, AK",Aleutians,AlaskaAleutians,2423,100
71,Alaska,"Aleutians West Census Area, AK",Aleutians,AlaskaAleutians,3563,169
72,Alaska,"Anchorage Borough/municipality, AK",Anchorage,AlaskaAnchorage,137421,10971
73,Alaska,"Bethel Census Area, AK",Bethel,AlaskaBethel,6158,805
74,Alaska,"Bristol Bay Borough, AK",Bristol,AlaskaBristol,386,31
75,Alaska,"Denali Borough, AK",Denali,AlaskaDenali,573,107
76,Alaska,"Dillingham Census Area, AK",Dillingham,AlaskaDillingham,1599,143
77,Alaska,"Fairbanks North Star Borough, AK",Fairbanks,AlaskaFairbanks,41838,2841
78,Alaska,"Haines Borough, AK",Haines,AlaskaHaines,859,159
79,Alaska,"Hoonah-Angoon Census Area, AK",Hoonah-Angoon,AlaskaHoonah-Angoon,908,142
80,Alaska,"Juneau Borough/city, AK",Juneau,AlaskaJuneau,15293,1081
81,Alaska,"Kenai Peninsula Borough, AK",Kenai,AlaskaKenai,23948,2393
82,Alaska,"Ketchikan Gateway Borough, AK",Ketchikan,AlaskaKetchikan,5893,627
83,Alaska,"Kodiak Island Borough, AK",Kodiak,AlaskaKodiak,5710,380
84,Alaska,"Kusilvak Census Area, AK",Kusilvak,AlaskaKusilvak,1854,445
85,Alaska,"Lake and Peninsula Borough, AK",Lake,AlaskaLake,624,65
86,Alaska,"Matanuska-Susitna Borough, AK",Matanuska-Susitna,AlaskaMatanuska-Susitna,43858,3990
87,Alaska,"Nome Census Area, AK",Nome,AlaskaNome,3516,411
88,Alaska,"North Slope Borough, AK",North,AlaskaNorth,3011,189
89,Alaska,"Northwest Arctic Borough, AK",Northwest,AlaskaNorthwest,2590,352
90,Alaska,"Petersburg Borough, AK",Petersburg,AlaskaPetersburg,1292,123
91,Alaska,"Prince of Wales-Hyder Census Area, AK",Prince,AlaskaPrince,2568,260
92,Alaska,"Sitka Borough/city, AK",Sitka,AlaskaSitka,3847,285
93,Alaska,"Skagway Municipality, AK",Skagway,AlaskaSkagway,476,130
94,Alaska,"Southeast Fairbanks Census Area, AK",Southeast,AlaskaSoutheast,2717,217
95,Alaska,"Valdez-Cordova Census Area, AK",Valdez-Cordova,AlaskaValdez-Cordova,4127,395
96,Alaska,"Wrangell Borough/city, AK",Wrangell,AlaskaWrangell,901,83
97,Alaska,"Yakutat Borough/city, AK",Yakutat,AlaskaYakutat,238,22
98,Alaska,"Yukon-Koyukuk Census Area, AK",Yukon-Koyukuk,AlaskaYukon-Koyukuk,2028,280
99,Arizona,Arizona,Arizona,ArizonaArizona,3288150,282070
100,Arizona,"Apache County, AZ",Apache,ArizonaApache,17614,2581
101,Arizona,"Cochise County, AZ",Cochise,ArizonaCochise,48368,3627
102,Arizona,"Coconino County, AZ",Coconino,ArizonaCoconino,67985,7295
103,Arizona,"Gila County, AZ",Gila,ArizonaGila,19387,1621
104,Arizona,"Graham County, AZ",Graham,ArizonaGraham,14911,1008
105,Arizona,"Greenlee County, AZ",Greenlee,ArizonaGreenlee,4210,244
106,Arizona,"La Paz County, AZ",La,ArizonaLa,8343,636
107,Arizona,"Maricopa County, AZ",Maricopa,ArizonaMaricopa,2159267,172361
108,Arizona,"Mohave County, AZ",Mohave,ArizonaMohave,79889,8854
109,Arizona,"Navajo County, AZ",Navajo,ArizonaNavajo,36322,4097
110,Arizona,"Pima County, AZ",Pima,ArizonaPima,457683,38308
111,Arizona,"Pinal County, AZ",Pinal,ArizonaPinal,176674,14400
112,Arizona,"Santa Cruz County, AZ",Santa,ArizonaSanta,17209,2220
113,Arizona,"Yavapai County, AZ",Yavapai,ArizonaYavapai,98978,8007
114,Arizona,"Yuma County, AZ",Yuma,ArizonaYuma,81310,16810
115,Arkansas,Arkansas,Arkansas,ArkansasArkansas,1272344,81952
116,Arkansas,"Arkansas County, AR",Arkansas,ArkansasArkansas,9044,378
117,Arkansas,"Ashley County, AR",Ashley,ArkansasAshley,6518,668
118,Arkansas,"Baxter County, AR",Baxter,ArkansasBaxter,15547,981
119,Arkansas,"Benton County, AR",Benton,ArkansasBenton,133784,6231
120,Arkansas,"Boone County, AR",Boone,ArkansasBoone,14934,830
121,Arkansas,"Bradley County, AR",Bradley,ArkansasBradley,4130,256
122,Arkansas,"Calhoun County, AR",Calhoun,ArkansasCalhoun,2301,125
123,Arkansas,"Carroll County, AR",Carroll,ArkansasCarroll,11989,720
124,Arkansas,"Chicot County, AR",Chicot,ArkansasChicot,2914,336
125,Arkansas,"Clark County, AR",Clark,ArkansasClark,8765,549
126,Arkansas,"Clay County, AR",Clay,ArkansasClay,5186,333
127,Arkansas,"Cleburne County, AR",Cleburne,ArkansasCleburne,8460,697
128,Arkansas,"Cleveland County, AR",Cleveland,ArkansasCleveland,3008,195
129,Arkansas,"Columbia County, AR",Columbia,ArkansasColumbia,8433,620
130,Arkansas,"Conway County, AR",Conway,ArkansasConway,7888,504
131,Arkansas,"Craighead County, AR",Craighead,ArkansasCraighead,52803,2972
132,Arkansas,"Crawford County, AR",Crawford,ArkansasCrawford,24998,1438
133,Arkansas,"Crittenden County, AR",Crittenden,ArkansasCrittenden,19459,1750
134,Arkansas,"Cross County, AR",Cross,ArkansasCross,6847,444
135,Arkansas,"Dallas County, AR",Dallas,ArkansasDallas,2681,151
136,Arkansas,"Desha County, AR",Desha,ArkansasDesha,4948,373
137,Arkansas,"Drew County, AR",Drew,ArkansasDrew,7196,534
