Geographic Area,County,State,Abbreviation,2019 Population _ Census
"Baldwin County, Alabama",Baldwin, Alabama, AlabamaBaldwin,223234
"Barbour County, Alabama",Barbour, Alabama, AlabamaBarbour,24686
"Bibb County, Alabama",Bibb, Alabama, AlabamaBibb,22394
"Blount County, Alabama",Blount, Alabama, AlabamaBlount,57826
"Bullock County, Alabama",Bullock, Alabama, AlabamaBullock,10101
"Butler County, Alabama",Butler, Alabama, AlabamaButler,19448
"Calhoun County, Alabama",Calhoun, Alabama, AlabamaCalhoun,113605
"Chambers County, Alabama",Chambers, Alabama, AlabamaChambers,33254
"Cherokee County, Alabama",Cherokee, Alabama, AlabamaCherokee,26196
"Chilton County, Alabama",Chilton, Alabama, AlabamaChilton,44428
"Choctaw County, Alabama",Choctaw, Alabama, AlabamaChoctaw,12589
"Clarke County, Alabama",Clarke, Alabama, AlabamaClarke,23622
"Clay County, Alabama",Clay, Alabama, AlabamaClay,13235
"Cleburne County, Alabama",Cleburne, Alabama, AlabamaCleburne,14910
"Coffee County, Alabama",Coffee, Alabama, AlabamaCoffee,52342
"Colbert County, Alabama",Colbert, Alabama, AlabamaColbert,55241
"Conecuh County, Alabama",Conecuh, Alabama, AlabamaConecuh,12067
"Coosa County, Alabama",Coosa, Alabama, AlabamaCoosa,10663
"Covington County, Alabama",Covington, Alabama, AlabamaCovington,37049
"Crenshaw County, Alabama",Crenshaw, Alabama, AlabamaCrenshaw,13772
"Cullman County, Alabama",Cullman, Alabama, AlabamaCullman,83768
"Dale County, Alabama",Dale, Alabama, AlabamaDale,49172
"Dallas County, Alabama",Dallas, Alabama, AlabamaDallas,37196
"DeKalb County, Alabama",DeKalb, Alabama, AlabamaDeKalb,71513
"Elmore County, Alabama",Elmore, Alabama, AlabamaElmore,81209
"Escambia County, Alabama",Escambia, Alabama, AlabamaEscambia,36633
"Etowah County, Alabama",Etowah, Alabama, AlabamaEtowah,102268
"Fayette County, Alabama",Fayette, Alabama, AlabamaFayette,16302
"Franklin County, Alabama",Franklin, Alabama, AlabamaFranklin,31362
"Geneva County, Alabama",Geneva, Alabama, AlabamaGeneva,26271
"Greene County, Alabama",Greene, Alabama, AlabamaGreene,8111
"Hale County, Alabama",Hale, Alabama, AlabamaHale,14651
"Henry County, Alabama",Henry, Alabama, AlabamaHenry,17205
"Houston County, Alabama",Houston, Alabama, AlabamaHouston,105882
"Jackson County, Alabama",Jackson, Alabama, AlabamaJackson,51626
"Jefferson County, Alabama",Jefferson, Alabama, AlabamaJefferson,658573
"Lamar County, Alabama",Lamar, Alabama, AlabamaLamar,13805
"Lauderdale County, Alabama",Lauderdale, Alabama, AlabamaLauderdale,92729
"Lawrence County, Alabama",Lawrence, Alabama, AlabamaLawrence,32924
"Lee County, Alabama",Lee, Alabama, AlabamaLee,164542
"Limestone County, Alabama",Limestone, Alabama, AlabamaLimestone,98915
"Lowndes County, Alabama",Lowndes, Alabama, AlabamaLowndes,9726
"Macon County, Alabama",Macon, Alabama, AlabamaMacon,18068
"Madison County, Alabama",Madison, Alabama, AlabamaMadison,372909
"Marengo County, Alabama",Marengo, Alabama, AlabamaMarengo,18863
"Marion County, Alabama",Marion, Alabama, AlabamaMarion,29709
"Marshall County, Alabama",Marshall, Alabama, AlabamaMarshall,96774
"Mobile County, Alabama",Mobile, Alabama, AlabamaMobile,413210
"Monroe County, Alabama",Monroe, Alabama, AlabamaMonroe,20733
"Montgomery County, Alabama",Montgomery, Alabama, AlabamaMontgomery,226486
"Morgan County, Alabama",Morgan, Alabama, AlabamaMorgan,119679
"Perry County, Alabama",Perry, Alabama, AlabamaPerry,8923
"Pickens County, Alabama",Pickens, Alabama, AlabamaPickens,19930
"Pike County, Alabama",Pike, Alabama, AlabamaPike,33114
"Randolph County, Alabama",Randolph, Alabama, AlabamaRandolph,22722
"Russell County, Alabama",Russell, Alabama, AlabamaRussell,57961
"St Clair County, Alabama",St, Alabama, AlabamaSt,89512
"Shelby County, Alabama",Shelby, Alabama, AlabamaShelby,217702
"Sumter County, Alabama",Sumter, Alabama, AlabamaSumter,12427
"Talladega County, Alabama",Talladega, Alabama, AlabamaTalladega,79978
"Tallapoosa County, Alabama",Tallapoosa, Alabama, AlabamaTallapoosa,40367
"Tuscaloosa County, Alabama",Tuscaloosa, Alabama, AlabamaTuscaloosa,209355
"Walker County, Alabama",Walker, Alabama, AlabamaWalker,63521
"Washington County, Alabama",Washington, Alabama, AlabamaWashington,16326
"Wilcox County, Alabama",Wilcox, Alabama, AlabamaWilcox,10373
"Winston County, Alabama",Winston, Alabama, AlabamaWinston,23629
"Aleutians East Borough, Alaska",Aleutians, Alaska, AlaskaAleutians,3337
"Aleutians West Census Area, Alaska",Aleutians, Alaska, AlaskaAleutians,5634
"Anchorage Municipality, Alaska",Anchorage, Alaska, AlaskaAnchorage,288000
"Bethel Census Area, Alaska",Bethel, Alaska, AlaskaBethel,18386
"Bristol Bay Borough, Alaska",Bristol, Alaska, AlaskaBristol,836
"Denali Borough, Alaska",Denali, Alaska, AlaskaDenali,2097
"Dillingham Census Area, Alaska",Dillingham, Alaska, AlaskaDillingham,4916
"Fairbanks North Star Borough, Alaska",Fairbanks, Alaska, AlaskaFairbanks,96849
"Haines Borough, Alaska",Haines, Alaska, AlaskaHaines,2530
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon, Alaska, AlaskaHoonah-Angoon,2148
"Juneau City and Borough, Alaska",Juneau, Alaska, AlaskaJuneau,31974
"Kenai Peninsula Borough, Alaska",Kenai, Alaska, AlaskaKenai,58708
"Ketchikan Gateway Borough, Alaska",Ketchikan, Alaska, AlaskaKetchikan,13901
"Kodiak Island Borough, Alaska",Kodiak, Alaska, AlaskaKodiak,12998
"Kusilvak Census Area, Alaska",Kusilvak, Alaska, AlaskaKusilvak,8314
"Lake and Peninsula Borough, Alaska",Lake, Alaska, AlaskaLake,1592
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna, Alaska, AlaskaMatanuska-Susitna,108317
"Nome Census Area, Alaska",Nome, Alaska, AlaskaNome,10004
"North Slope Borough, Alaska",North, Alaska, AlaskaNorth,9832
"Northwest Arctic Borough, Alaska",Northwest, Alaska, AlaskaNorthwest,7621
"Petersburg Borough, Alaska",Petersburg, Alaska, AlaskaPetersburg,3266
"Prince of Wales-Hyder Census Area, Alaska",Prince, Alaska, AlaskaPrince,6203
"Sitka City and Borough, Alaska",Sitka, Alaska, AlaskaSitka,8493
"Skagway Municipality, Alaska",Skagway, Alaska, AlaskaSkagway,1183
"Southeast Fairbanks Census Area, Alaska",Southeast, Alaska, AlaskaSoutheast,6893
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova, Alaska, AlaskaValdez-Cordova,9202
"Wrangell City and Borough, Alaska",Wrangell, Alaska, AlaskaWrangell,2502
"Yakutat City and Borough, Alaska",Yakutat, Alaska, AlaskaYakutat,579
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk, Alaska, AlaskaYukon-Koyukuk,5230
"Apache County, Arizona",Apache, Arizona, ArizonaApache,71887
"Cochise County, Arizona",Cochise, Arizona, ArizonaCochise,125922
"Coconino County, Arizona",Coconino, Arizona, ArizonaCoconino,143476
"Gila County, Arizona",Gila, Arizona, ArizonaGila,54018
"Graham County, Arizona",Graham, Arizona, ArizonaGraham,38837
"Greenlee County, Arizona",Greenlee, Arizona, ArizonaGreenlee,9498
"La Paz County, Arizona",La, Arizona, ArizonaLa,21108
"Maricopa County, Arizona",Maricopa, Arizona, ArizonaMaricopa,4485414
"Mohave County, Arizona",Mohave, Arizona, ArizonaMohave,212181
"Navajo County, Arizona",Navajo, Arizona, ArizonaNavajo,110924
"Pima County, Arizona",Pima, Arizona, ArizonaPima,1047279
"Pinal County, Arizona",Pinal, Arizona, ArizonaPinal,462789
"Santa Cruz County, Arizona",Santa, Arizona, ArizonaSanta,46498
"Yavapai County, Arizona",Yavapai, Arizona, ArizonaYavapai,235099
"Yuma County, Arizona",Yuma, Arizona, ArizonaYuma,213787
"Arkansas County, Arkansas",Arkansas, Arkansas, ArkansasArkansas,17486
"Ashley County, Arkansas",Ashley, Arkansas, ArkansasAshley,19657
"Baxter County, Arkansas",Baxter, Arkansas, ArkansasBaxter,41932
"Benton County, Arkansas",Benton, Arkansas, ArkansasBenton,279141
"Boone County, Arkansas",Boone, Arkansas, ArkansasBoone,37432
"Bradley County, Arkansas",Bradley, Arkansas, ArkansasBradley,10763
"Calhoun County, Arkansas",Calhoun, Arkansas, ArkansasCalhoun,5189
"Carroll County, Arkansas",Carroll, Arkansas, ArkansasCarroll,28380
"Chicot County, Arkansas",Chicot, Arkansas, ArkansasChicot,10118
"Clark County, Arkansas",Clark, Arkansas, ArkansasClark,22320
"Clay County, Arkansas",Clay, Arkansas, ArkansasClay,14551
"Cleburne County, Arkansas",Cleburne, Arkansas, ArkansasCleburne,24919
"Cleveland County, Arkansas",Cleveland, Arkansas, ArkansasCleveland,7956
"Columbia County, Arkansas",Columbia, Arkansas, ArkansasColumbia,23457
"Conway County, Arkansas",Conway, Arkansas, ArkansasConway,20846
"Craighead County, Arkansas",Craighead, Arkansas, ArkansasCraighead,110332
"Crawford County, Arkansas",Crawford, Arkansas, ArkansasCrawford,63257
"Crittenden County, Arkansas",Crittenden, Arkansas, ArkansasCrittenden,47955
"Cross County, Arkansas",Cross, Arkansas, ArkansasCross,16419
"Dallas County, Arkansas",Dallas, Arkansas, ArkansasDallas,7009
"Desha County, Arkansas",Desha, Arkansas, ArkansasDesha,11361
"Drew County, Arkansas",Drew, Arkansas, ArkansasDrew,18219
"Faulkner County, Arkansas",Faulkner, Arkansas, ArkansasFaulkner,126007
"Franklin County, Arkansas",Franklin, Arkansas, ArkansasFranklin,17715
"Fulton County, Arkansas",Fulton, Arkansas, ArkansasFulton,12477
"Garland County, Arkansas",Garland, Arkansas, ArkansasGarland,99386
"Grant County, Arkansas",Grant, Arkansas, ArkansasGrant,18265
"Greene County, Arkansas",Greene, Arkansas, ArkansasGreene,45325
"Hempstead County, Arkansas",Hempstead, Arkansas, ArkansasHempstead,21532
"Hot Spring County, Arkansas",Hot, Arkansas, ArkansasHot,33771
"Howard County, Arkansas",Howard, Arkansas, ArkansasHoward,13202
"Independence County, Arkansas",Independence, Arkansas, ArkansasIndependence,37825
"Izard County, Arkansas",Izard, Arkansas, ArkansasIzard,13629
"Jackson County, Arkansas",Jackson, Arkansas, ArkansasJackson,16719
"Jefferson County, Arkansas",Jefferson, Arkansas, ArkansasJefferson,66824
"Johnson County, Arkansas",Johnson, Arkansas, ArkansasJohnson,26578
"Lafayette County, Arkansas",Lafayette, Arkansas, ArkansasLafayette,6624
"Lawrence County, Arkansas",Lawrence, Arkansas, ArkansasLawrence,16406
