County,State,Abbreviation,2019 Population _ Census
Autauga, Alabama, AlabamaAutauga,55869
Baldwin, Alabama, AlabamaBaldwin,223234
Barbour, Alabama, AlabamaBarbour,24686
Bibb, Alabama, AlabamaBibb,22394
Blount, Alabama, AlabamaBlount,57826
Bullock, Alabama, AlabamaBullock,10101
Butler, Alabama, AlabamaButler,19448
Calhoun, Alabama, AlabamaCalhoun,113605
Chambers, Alabama, AlabamaChambers,33254
Cherokee, Alabama, AlabamaCherokee,26196
Chilton, Alabama, AlabamaChilton,44428
Choctaw, Alabama, AlabamaChoctaw,12589
Clarke, Alabama, AlabamaClarke,23622
Clay, Alabama, AlabamaClay,13235
Cleburne, Alabama, AlabamaCleburne,14910
Coffee, Alabama, AlabamaCoffee,52342
Colbert, Alabama, AlabamaColbert,55241
Conecuh, Alabama, AlabamaConecuh,12067
Coosa, Alabama, AlabamaCoosa,10663
Covington, Alabama, AlabamaCovington,37049
Crenshaw, Alabama, AlabamaCrenshaw,13772
Cullman, Alabama, AlabamaCullman,83768
Dale, Alabama, AlabamaDale,49172
Dallas, Alabama, AlabamaDallas,37196
DeKalb, Alabama, AlabamaDeKalb,71513
Elmore, Alabama, AlabamaElmore,81209
Escambia, Alabama, AlabamaEscambia,36633
Etowah, Alabama, AlabamaEtowah,102268
Fayette, Alabama, AlabamaFayette,16302
Franklin, Alabama, AlabamaFranklin,31362
Geneva, Alabama, AlabamaGeneva,26271
Greene, Alabama, AlabamaGreene,8111
Hale, Alabama, AlabamaHale,14651
Henry, Alabama, AlabamaHenry,17205
Houston, Alabama, AlabamaHouston,105882
Jackson, Alabama, AlabamaJackson,51626
Jefferson, Alabama, AlabamaJefferson,658573
Lamar, Alabama, AlabamaLamar,13805
Lauderdale, Alabama, AlabamaLauderdale,92729
Lawrence, Alabama, AlabamaLawrence,32924
Lee, Alabama, AlabamaLee,164542
Limestone, Alabama, AlabamaLimestone,98915
Lowndes, Alabama, AlabamaLowndes,9726
Macon, Alabama, AlabamaMacon,18068
Madison, Alabama, AlabamaMadison,372909
Marengo, Alabama, AlabamaMarengo,18863
Marion, Alabama, AlabamaMarion,29709
Marshall, Alabama, AlabamaMarshall,96774
Mobile, Alabama, AlabamaMobile,413210
Monroe, Alabama, AlabamaMonroe,20733
Montgomery, Alabama, AlabamaMontgomery,226486
Morgan, Alabama, AlabamaMorgan,119679
Perry, Alabama, AlabamaPerry,8923
Pickens, Alabama, AlabamaPickens,19930
Pike, Alabama, AlabamaPike,33114
Randolph, Alabama, AlabamaRandolph,22722
Russell, Alabama, AlabamaRussell,57961
St, Alabama, AlabamaSt,89512
Shelby, Alabama, AlabamaShelby,217702
Sumter, Alabama, AlabamaSumter,12427
Talladega, Alabama, AlabamaTalladega,79978
Tallapoosa, Alabama, AlabamaTallapoosa,40367
Tuscaloosa, Alabama, AlabamaTuscaloosa,209355
Walker, Alabama, AlabamaWalker,63521
Washington, Alabama, AlabamaWashington,16326
Wilcox, Alabama, AlabamaWilcox,10373
Winston, Alabama, AlabamaWinston,23629
Aleutians, Alaska, AlaskaAleutians,3337
Aleutians, Alaska, AlaskaAleutians,5634
Anchorage, Alaska, AlaskaAnchorage,288000
Bethel, Alaska, AlaskaBethel,18386
Bristol, Alaska, AlaskaBristol,836
Denali, Alaska, AlaskaDenali,2097
Dillingham, Alaska, AlaskaDillingham,4916
Fairbanks, Alaska, AlaskaFairbanks,96849
Haines, Alaska, AlaskaHaines,2530
Hoonah-Angoon, Alaska, AlaskaHoonah-Angoon,2148
Juneau, Alaska, AlaskaJuneau,31974
Kenai, Alaska, AlaskaKenai,58708
Ketchikan, Alaska, AlaskaKetchikan,13901
Kodiak, Alaska, AlaskaKodiak,12998
