State,County,Land Area
Alabama,Autauga,604.45
Alabama,Baldwin,2026.93
Alabama,Barbour,904.52
Alabama,Bibb,626.16
Alabama,Blount,650.6
Alabama,Bullock,626.06
Alabama,Butler,777.92
Alabama,Calhoun,612.32
Alabama,Chambers,603.11
Alabama,Cherokee,599.95
Alabama,Chilton,700.76
Alabama,Choctaw,920.85
Alabama,Clarke,1252.51
Alabama,Clay,606
Alabama,Cleburne,561.02
Alabama,Coffee,680.48
Alabama,Colbert,623.61
Alabama,Conecuh,852.51
Alabama,Coosa,666.36
Alabama,Covington,1043.86
Alabama,Crenshaw,610.88
Alabama,Cullman,754.82
Alabama,Dale,562.67
Alabama,Dallas,993.37
Alabama,DeKalb,778.65
Alabama,Elmore,657.21
Alabama,Escambia,952.95
Alabama,Etowah,548.75
Alabama,Fayette,629.34
Alabama,Franklin,646.51
Alabama,Geneva,578.9
Alabama,Greene,659.93
Alabama,Hale,656.47
Alabama,Henry,568.33
Alabama,Houston,581.65
Alabama,Jackson,1126.77
Alabama,Jefferson,1123.8
Alabama,Lamar,605.47
Alabama,Lauderdale,718.78
Alabama,Lawrence,718.07
Alabama,Lee,615.55
Alabama,Limestone,607.08
Alabama,Lowndes,725.03
Alabama,Macon,613.24
Alabama,Madison,812.85
Alabama,Marengo,982.85
Alabama,Marion,743.57
Alabama,Marshall,623.16
Alabama,Mobile,1644.02
Alabama,Monroe,1034.53
Alabama,Montgomery,799.76
Alabama,Morgan,599.06
Alabama,Perry,724.08
Alabama,Pickens,890.05
Alabama,Pike,672.1
Alabama,Randolph,584.11
Alabama,Russell,647.38
Alabama,Shelby,809.53
Alabama,St. Clair,653.61
Alabama,Sumter,913.3
Alabama,Talladega,760.25
Alabama,Tallapoosa,766.23
Alabama,Tuscaloosa,1351.23
Alabama,Walker,805.3
Alabama,Washington,1088.54
Alabama,Wilcox,907.46
Alabama,Winston,631.86
Alaska,Aleutians East,15011.6
Alaska,Aleutians West,14116.51
Alaska,Anchorage,1961.09
Alaska,Bethel,45508.46
Alaska,Bristol Bay,887.68
Alaska,Denali,12774.53
Alaska,Dillingham,20928.41
Alaska,Fairbanks North Star,7444.02
Alaska,Haines,2725.82
Alaska,Hoonah-Angoon,11376.73
Alaska,Juneau,3255.01
Alaska,Kenai Peninsula,24754.6
Alaska,Ketchikan Gateway,1753.98
Alaska,Kodiak Island,12023.67
Alaska,Lake and Peninsula,30906.96
Alaska,Matanuska-Susitna,25259.79
Alaska,Nome,28283.33
Alaska,North Slope,94762.64
Alaska,Northwest Arctic,40762
