State,County,Percent of people in poverty 2019
Alabama,Autauga,12.1
Alabama,Baldwin,10.1
Alabama,Barbour,27.1
Alabama,Bibb,20.3
Alabama,Blount,16.3
Alabama,Bullock,30
Alabama,Butler,21.6
Alabama,Calhoun,17.2
Alabama,Chambers,19.6
Alabama,Cherokee,15.9
Alabama,Chilton,16
Alabama,Choctaw,22.6
Alabama,Clarke,18.4
Alabama,Clay,16.6
Alabama,Cleburne,13.3
Alabama,Coffee,15
Alabama,Colbert,14.6
Alabama,Conecuh,22.2
Alabama,Coosa,17.1
Alabama,Covington,17.2
Alabama,Crenshaw,16.8
Alabama,Cullman,12.2
Alabama,Dale,18.1
Alabama,Dallas,26
Alabama,DeKalb,18.2
Alabama,Elmore,11.4
Alabama,Escambia,20.5
Alabama,Etowah,18.8
Alabama,Fayette,17
Alabama,Franklin,16.1
Alabama,Geneva,16.1
Alabama,Greene,31.7
Alabama,Hale,20.5
Alabama,Henry,17.2
Alabama,Houston,19.4
Alabama,Jackson,14.7
Alabama,Jefferson,16.2
Alabama,Lamar,15.3
Alabama,Lauderdale,15.7
Alabama,Lawrence,17.7
Alabama,Lee,15.5
Alabama,Limestone,12
Alabama,Lowndes,26.6
Alabama,Macon,29.3
Alabama,Madison,11.5
Alabama,Marengo,24.8
Alabama,Marion,16.9
Alabama,Marshall,15.7
Alabama,Mobile,17.7
Alabama,Monroe,23.3
Alabama,Montgomery,15.8
Alabama,Morgan,13.7
Alabama,Perry,33.9
Alabama,Pickens,24.3
Alabama,Pike,21.8
Alabama,Randolph,17.5
Alabama,Russell,18.9
Alabama,St. Clair,11.2
Alabama,Shelby,6.2
Alabama,Sumter,36.4
Alabama,Talladega,17.4
Alabama,Tallapoosa,16
Alabama,Tuscaloosa,16.2
Alabama,Walker,17.3
Alabama,Washington,18.6
Alabama,Wilcox,32.5
Alabama,Winston,16.7
Alaska,Aleutians East,14.8
Alaska,Aleutians West,7.6
Alaska,Anchorage,9.5
Alaska,Bethel,23.5
Alaska,Bristol Bay,9.8
Alaska,Denali,6.6
Alaska,Dillingham,18.1
Alaska,Fairbanks North Star,7.2
Alaska,Haines,9.8
Alaska,Hoonah-Angoon Census Area,15.7
Alaska,Juneau,6.3
Alaska,Kenai Peninsula,10.4
Alaska,Ketchikan Gateway,9.4
Alaska,Kodiak Island,7.1
Alaska,Kusilvak,26.8
Alaska,Lake and Peninsula,17.4
Alaska,Matanuska-Susitna,9.6
Alaska,Nome,20.7
Alaska,North Slope,11.4
Alaska,Northwest Arctic,24
Alaska,Petersburg Census Area,6.7
Alaska,Prince of Wales-Hyder Census Area,17.6
Alaska,Sitka,8.1
Alaska,Skagway Municipality,4
Alaska,Southeast Fairbanks,12
Alaska,Valdez-Cordova,8.6
Alaska,Wrangell City and Borough,9.7
Alaska,Yakutat,14.7
Alaska,Yukon-Koyukuk,24.4
Arizona,Apache,33.4
Arizona,Cochise,16.6
Arizona,Coconino,15.9
Arizona,Gila,21.1
Arizona,Graham,20.1
Arizona,Greenlee,9.3
Arizona,La Paz,22.1
Arizona,Maricopa,12.2
Arizona,Mohave,16
Arizona,Navajo,25.2
Arizona,Pima,14
Arizona,Pinal,12.1
Arizona,Santa Cruz,18.8
Arizona,Yavapai,12
Arizona,Yuma,20.4
Arkansas,Arkansas,15.8
Arkansas,Ashley,18.5
Arkansas,Baxter,12.7
Arkansas,Benton,8.9
Arkansas,Boone,15.1
Arkansas,Bradley,22.9
Arkansas,Calhoun,15.4
Arkansas,Carroll,14.7
Arkansas,Chicot,31
Arkansas,Clark,20.6
Arkansas,Clay,18.7
Arkansas,Cleburne,14.1
