State,Area,2019 Gross Domestic Product (Thousands of Chained (2012) Dollars))
Alabama,,200829359
Autauga,AlabamaAutauga,1501769
Baldwin,AlabamaBaldwin,6140514
Barbour,AlabamaBarbour,762856
Bibb,AlabamaBibb,389547
Blount,AlabamaBlount,869049
Bullock,AlabamaBullock,246089
Butler,AlabamaButler,601174
Calhoun,AlabamaCalhoun,4050073
Chambers,AlabamaChambers,819345
Cherokee,AlabamaCherokee,531160
Chilton,AlabamaChilton,929435
Choctaw,AlabamaChoctaw,540271
Clarke,AlabamaClarke,770838
Clay,AlabamaClay,395198
Cleburne,AlabamaCleburne,276518
Coffee,AlabamaCoffee,1344913
Colbert,AlabamaColbert,2375926
Conecuh,AlabamaConecuh,461600
Coosa,AlabamaCoosa,174730
Covington,AlabamaCovington,1121281
Crenshaw,AlabamaCrenshaw,431331
Cullman,AlabamaCullman,2581754
Dale,AlabamaDale,2638931
Dallas,AlabamaDallas,1193935
DeKalb,AlabamaDeKalb,1879778
Elmore,AlabamaElmore,1709071
Escambia,AlabamaEscambia,1244239
Etowah,AlabamaEtowah,2915965
Fayette,AlabamaFayette,343241
Franklin,AlabamaFranklin,948279
Geneva,AlabamaGeneva,534804
Greene,AlabamaGreene,244098
Hale,AlabamaHale,272988
Henry,AlabamaHenry,410939
Houston,AlabamaHouston,4906396
Jackson,AlabamaJackson,1405878
Jefferson,AlabamaJefferson,41359665
Lamar,AlabamaLamar,329681
Lauderdale,AlabamaLauderdale,2440671
Lawrence,AlabamaLawrence,506829
Lee,AlabamaLee,5265738
Limestone,AlabamaLimestone,3268954
Lowndes,AlabamaLowndes,412296
Macon,AlabamaMacon,506149
Madison,AlabamaMadison,22979842
Marengo,AlabamaMarengo,686093
Marion,AlabamaMarion,831902
Marshall,AlabamaMarshall,3199310
Mobile,AlabamaMobile,18484941
Monroe,AlabamaMonroe,699127
Montgomery,AlabamaMontgomery,12552254
Morgan,AlabamaMorgan,5320638
Perry,AlabamaPerry,217199
Pickens,AlabamaPickens,404838
Pike,AlabamaPike,1270861
Randolph,AlabamaRandolph,475636
Russell,AlabamaRussell,1346443
St.Clair,AlabamaSt.Clair,1794101
Shelby,AlabamaShelby,10075696
Sumter,AlabamaSumter,326968
Talladega,AlabamaTalladega,3031903
