,State,County,First Word of Each County,Year,Max AQI,90th Percentile AQI,Median AQI
0,Alabama,Baldwin,Baldwin,2020,74,49,36
1,Alabama,Russell,Russell,2020,99,56,36
2,Alabama,Shelby,Shelby,2020,71,46,28
3,Alabama,Sumter,Sumter,2020,70,43,29
4,Alabama,Tuscaloosa,Tuscaloosa,2020,97,45,31
5,Alaska,Aleutians East ,Aleutians,2020,31,22,8
6,Alaska,Anchorage ,Anchorage,2020,91,48,22
7,Alaska,Bethel ,Bethel,2020,56,21,6
8,Alaska,Denali ,Denali,2020,54,42,33
9,Alaska,Fairbanks North Star ,Fairbanks,2020,170,106,33
10,Alaska,Juneau ,Juneau,2020,101,40,14
11,Alaska,Kenai Peninsula ,Kenai,2020,43,15,8
12,Alaska,Matanuska-Susitna ,Matanuska-Susitna,2020,103,45,14
13,Alaska,North Slope ,North,2020,36,12,5
14,Arizona,Apache,Apache,2020,58,29,14
15,Arizona,Cochise,Cochise,2020,108,61,45
16,Arizona,Coconino,Coconino,2020,93,54,44
17,Arizona,Gila,Gila,2020,174,77,47
18,Arizona,La Paz,La,2020,125,58,44
19,Arizona,Maricopa,Maricopa,2020,282,215,112
20,Arizona,Mohave,Mohave,2020,116,34,18
21,Arizona,Navajo,Navajo,2020,136,54,43
22,Arizona,Pima,Pima,2020,277,77,53
23,Arizona,Pinal,Pinal,2020,1124,119,72
24,Arizona,Santa Cruz,Santa,2020,165,69,34
25,Arizona,Yavapai,Yavapai,2020,119,61,45
26,Arizona,Yuma,Yuma,2020,321,69,44
27,Arkansas,Arkansas,Arkansas,2020,82,50,27
28,Arkansas,Ashley,Ashley,2020,89,49,28
29,Arkansas,Clark,Clark,2020,67,40,29
30,Arkansas,Crittenden,Crittenden,2020,115,54,38
31,Arkansas,Garland,Garland,2020,83,53,29
32,Arkansas,Jackson,Jackson,2020,77,51,26
33,Arkansas,Newton,Newton,2020,84,45,35
34,Arkansas,Polk,Polk,2020,84,47,36
35,Arkansas,Pulaski,Pulaski,2020,132,59,42
