,State,County,First Word of Each County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI
0,Alabama,Baldwin,Baldwin,AlabamaBaldwin,2020,74,49,36
1,Alabama,Russell,Russell,AlabamaRussell,2020,99,56,36
2,Alabama,Shelby,Shelby,AlabamaShelby,2020,71,46,28
3,Alabama,Sumter,Sumter,AlabamaSumter,2020,70,43,29
4,Alabama,Tuscaloosa,Tuscaloosa,AlabamaTuscaloosa,2020,97,45,31
5,Alaska,Aleutians East ,Aleutians,AlaskaAleutians,2020,31,22,8
6,Alaska,Anchorage ,Anchorage,AlaskaAnchorage,2020,91,48,22
7,Alaska,Bethel ,Bethel,AlaskaBethel,2020,56,21,6
8,Alaska,Denali ,Denali,AlaskaDenali,2020,54,42,33
9,Alaska,Fairbanks North Star ,Fairbanks,AlaskaFairbanks,2020,170,106,33
10,Alaska,Juneau ,Juneau,AlaskaJuneau,2020,101,40,14
11,Alaska,Kenai Peninsula ,Kenai,AlaskaKenai,2020,43,15,8
12,Alaska,Matanuska-Susitna ,Matanuska-Susitna,AlaskaMatanuska-Susitna,2020,103,45,14
13,Alaska,North Slope ,North,AlaskaNorth,2020,36,12,5
14,Arizona,Apache,Apache,ArizonaApache,2020,58,29,14
15,Arizona,Cochise,Cochise,ArizonaCochise,2020,108,61,45
16,Arizona,Coconino,Coconino,ArizonaCoconino,2020,93,54,44
17,Arizona,Gila,Gila,ArizonaGila,2020,174,77,47
18,Arizona,La Paz,La,ArizonaLa,2020,125,58,44
19,Arizona,Maricopa,Maricopa,ArizonaMaricopa,2020,282,215,112
20,Arizona,Mohave,Mohave,ArizonaMohave,2020,116,34,18
21,Arizona,Navajo,Navajo,ArizonaNavajo,2020,136,54,43
22,Arizona,Pima,Pima,ArizonaPima,2020,277,77,53
23,Arizona,Pinal,Pinal,ArizonaPinal,2020,1124,119,72
24,Arizona,Santa Cruz,Santa,ArizonaSanta,2020,165,69,34
25,Arizona,Yavapai,Yavapai,ArizonaYavapai,2020,119,61,45
26,Arizona,Yuma,Yuma,ArizonaYuma,2020,321,69,44
27,Arkansas,Arkansas,Arkansas,ArkansasArkansas,2020,82,50,27
28,Arkansas,Ashley,Ashley,ArkansasAshley,2020,89,49,28
29,Arkansas,Clark,Clark,ArkansasClark,2020,67,40,29
30,Arkansas,Crittenden,Crittenden,ArkansasCrittenden,2020,115,54,38
31,Arkansas,Garland,Garland,ArkansasGarland,2020,83,53,29
32,Arkansas,Jackson,Jackson,ArkansasJackson,2020,77,51,26
33,Arkansas,Newton,Newton,ArkansasNewton,2020,84,45,35
34,Arkansas,Polk,Polk,ArkansasPolk,2020,84,47,36
35,Arkansas,Pulaski,Pulaski,ArkansasPulaski,2020,132,59,42
36,Arkansas,Union,Union,ArkansasUnion,2020,89,52,34
37,Arkansas,Washington,Washington,ArkansasWashington,2020,150,52,39
38,California,Alameda,Alameda,CaliforniaAlameda,2020,218,79,43
39,California,Amador,Amador,CaliforniaAmador,2020,156,50,37
40,California,Butte,Butte,CaliforniaButte,2020,379,110,51
41,California,Calaveras,Calaveras,CaliforniaCalaveras,2020,192,77,44
42,California,Colusa,Colusa,CaliforniaColusa,2020,198,86,38
43,California,Contra Costa,Contra,CaliforniaContra,2020,197,74,41
44,California,Del Norte,Del,CaliforniaDel,2020,220,55,32
45,California,El Dorado,El,CaliforniaEl,2020,190,90,43
46,California,Fresno,Fresno,CaliforniaFresno,2020,298,153,74
47,California,Glenn,Glenn,CaliforniaGlenn,2020,197,82,43
48,California,Humboldt,Humboldt,CaliforniaHumboldt,2020,109,44,29
49,California,Imperial,Imperial,CaliforniaImperial,2020,166,97,58
50,California,Inyo,Inyo,CaliforniaInyo,2020,684,130,52
51,California,Kern,Kern,CaliforniaKern,2020,267,140,81
52,California,Kings,Kings,CaliforniaKings,2020,543,124,67
53,California,Lake,Lake,CaliforniaLake,2020,180,43,32
54,California,Los Angeles,Los,CaliforniaLos,2020,235,165,83
55,California,Madera,Madera,CaliforniaMadera,2020,250,113,61
56,California,Marin,Marin,CaliforniaMarin,2020,206,57,33
57,California,Mariposa,Mariposa,CaliforniaMariposa,2020,618,111,47
58,California,Mendocino,Mendocino,CaliforniaMendocino,2020,456,76,34
59,California,Merced,Merced,CaliforniaMerced,2020,183,95,53
60,California,Mono,Mono,CaliforniaMono,2020,1928,199,40
61,California,Monterey,Monterey,CaliforniaMonterey,2020,250,63,36
62,California,Napa,Napa,CaliforniaNapa,2020,199,62,36
63,California,Nevada,Nevada,CaliforniaNevada,2020,252,90,41
64,California,Orange,Orange,CaliforniaOrange,2020,218,108,51
65,California,Placer,Placer,CaliforniaPlacer,2020,222,108,54
66,California,Plumas,Plumas,CaliforniaPlumas,2020,469,146,49
67,California,Riverside,Riverside,CaliforniaRiverside,2020,576,159,87
68,California,Sacramento,Sacramento,CaliforniaSacramento,2020,200,100,52
69,California,SanBenito,SanBenito,CaliforniaSanBenito,2020,168,67,39
70,California,SanBernardino,SanBernardino,CaliforniaSanBernardino,2020,236,185,93
71,California,SanDiego,SanDiego,CaliforniaSanDiego,2020,192,108,71
72,California,SanFrancisco,SanFrancisco,CaliforniaSanFrancisco,2020,198,62,36
73,California,SanJoaquin,SanJoaquin,CaliforniaSanJoaquin,2020,195,97,49
74,California,SanLuis Obispo,SanLuis,CaliforniaSanLuis,2020,292,90,48
75,California,SanMateo,SanMateo,CaliforniaSanMateo,2020,186,60,35
76,California,SantaBarbara,SantaBarbara,CaliforniaSantaBarbara,2020,168,66,42
77,California,SantaClara,SantaClara,CaliforniaSantaClara,2020,186,79,44
78,California,SantaCruz,SantaCruz,CaliforniaSantaCruz,2020,426,64,34
79,California,Shasta,Shasta,CaliforniaShasta,2020,166,64,41
80,California,Siskiyou,Siskiyou,CaliforniaSiskiyou,2020,359,61,36
81,California,Solano,Solano,CaliforniaSolano,2020,204,76,41
82,California,Sonoma,Sonoma,CaliforniaSonoma,2020,187,53,33
83,California,Stanislaus,Stanislaus,CaliforniaStanislaus,2020,189,102,55
84,California,Sutter,Sutter,CaliforniaSutter,2020,303,89,48
85,California,Tehama,Tehama,CaliforniaTehama,2020,196,93,43
86,California,Trinity,Trinity,CaliforniaTrinity,2020,193,79,27
87,California,Tulare,Tulare,CaliforniaTulare,2020,209,145,79
