,State,Area name,First Word of Each County,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
0,Alabama,Baldwin ,Baldwin,27.7,31.9
1,Alabama,Russell ,Russell,31.4,17.8
2,Alabama,Shelby ,Shelby,19.8,42.9
3,Alabama,Sumter ,Sumter,35.4,21.6
4,Alabama,Tuscaloosa ,Tuscaloosa,29.9,30.7
5,Alaska,Denali ,Denali,26.0,41.1
6,Alaska,Fairbanks North Star ,Fairbanks,22.6,31.4
7,Alaska,Juneau ,Juneau,21.6,38.4
8,Alaska,Kenai Peninsula ,Kenai,31.2,24.6
9,Alaska,Matanuska-Susitna ,Matanuska-Susitna,33.1,21.6
10,Alaska,North Slope ,North,43.0,16.5
11,Arizona,Apache ,Apache,32.2,12.3
12,Arizona,Cochise ,Cochise,24.1,23.1
13,Arizona,Coconino ,Coconino,22.0,36.2
14,Arizona,Gila ,Gila,27.9,18.7
15,Arizona,La Paz ,La,31.1,12.0
16,Arizona,Maricopa ,Maricopa,22.4,32.7
17,Arizona,Mohave ,Mohave,35.3,12.9
18,Arizona,Navajo ,Navajo,30.3,15.3
19,Arizona,Pima ,Pima,22.2,32.4
20,Arizona,Pinal ,Pinal,29.3,19.5
21,Arizona,Santa Cruz ,Santa,28.7,20.4
22,Arizona,Yavapai ,Yavapai,25.8,25.9
23,Arizona,Yuma ,Yuma,25.7,15.0
24,Arkansas,Arkansas,Arkansas,34.0,23.0
25,Arkansas,Ashley ,Ashley,43.7,12.3
26,Arkansas,Clark ,Clark,30.2,26.6
27,Arkansas,Crittenden ,Crittenden,34.8,17.4
28,Arkansas,Garland ,Garland,31.4,21.6
29,Arkansas,Grant ,Grant,43.8,18.7
30,Arkansas,Jackson ,Jackson,42.5,10.1
31,Arkansas,Newton ,Newton,35.4,20.5
32,Arkansas,Polk ,Polk,36.5,14.1
33,Arkansas,Pope ,Pope,35.2,22.8
34,Arkansas,Prairie ,Prairie,39.9,15.4
35,Arkansas,Pulaski ,Pulaski,26.0,34.3
36,Arkansas,Union ,Union,35.5,21.1
37,Arkansas,Van Buren ,Van,42.6,14.5
38,Arkansas,Washington ,Washington,25.7,33.3
39,Arkansas,White ,White,39.3,20.9
40,Arkansas,Woodruff ,Woodruff,43.8,14.0
41,Arkansas,Yell ,Yell,40.0,12.8
42,California,California,California,20.5,33.9
43,California,Alameda ,Alameda,17.6,47.4
44,California,Alpine ,Alpine,28.1,34.5
45,California,Amador ,Amador,27.5,19.3
46,California,Butte ,Butte,22.5,27.2
47,California,Calaveras ,Calaveras,28.0,18.3
48,California,Colusa ,Colusa,26.2,15.0
49,California,Contra Costa ,Contra,17.3,42.4
50,California,Del Norte ,Del,31.0,14.8
51,California,El Dorado ,El,21.3,34.3
52,California,Fresno ,Fresno,22.7,21.2
53,California,Glenn ,Glenn,27.2,14.2
54,California,Humboldt ,Humboldt,22.2,30.4
55,California,Imperial ,Imperial,24.3,15.2
56,California,Inyo ,Inyo,28.6,27.2
57,California,Kern ,Kern,27.8,16.4
58,California,Kings ,Kings,25.3,14.7
59,California,Lake ,Lake,30.5,15.5
60,California,Lassen ,Lassen,34.5,12.9
61,California,Los Angeles ,Los,20.6,32.5
62,California,Madera ,Madera,24.9,14.6
63,California,Marin ,Marin,10.5,59.5
