State,Area name,First Word of Each County,Abbreviation,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
Alabama,Baldwin ,Baldwin,AlabamaBaldwin,27.7,31.9
Alabama,Russell ,Russell,AlabamaRussell,31.4,17.8
Alabama,Shelby ,Shelby,AlabamaShelby,19.8,42.9
Alabama,Sumter ,Sumter,AlabamaSumter,35.4,21.6
Alabama,Tuscaloosa ,Tuscaloosa,AlabamaTuscaloosa,29.9,30.7
Alaska,Denali ,Denali,AlaskaDenali,26,41.1
Alaska,Fairbanks North Star ,Fairbanks,AlaskaFairbanks,22.6,31.4
Alaska,Juneau ,Juneau,AlaskaJuneau,21.6,38.4
Alaska,Kenai Peninsula ,Kenai,AlaskaKenai,31.2,24.6
Alaska,Matanuska-Susitna ,Matanuska-Susitna,AlaskaMatanuska-Susitna,33.1,21.6
Alaska,North Slope ,North,AlaskaNorth,43,16.5
Arizona,Apache ,Apache,ArizonaApache,32.2,12.3
Arizona,Cochise ,Cochise,ArizonaCochise,24.1,23.1
Arizona,Coconino ,Coconino,ArizonaCoconino,22,36.2
Arizona,Gila ,Gila,ArizonaGila,27.9,18.7
Arizona,La Paz ,La,ArizonaLa,31.1,12
Arizona,Maricopa ,Maricopa,ArizonaMaricopa,22.4,32.7
Arizona,Mohave ,Mohave,ArizonaMohave,35.3,12.9
Arizona,Navajo ,Navajo,ArizonaNavajo,30.3,15.3
Arizona,Pima ,Pima,ArizonaPima,22.2,32.4
Arizona,Pinal ,Pinal,ArizonaPinal,29.3,19.5
Arizona,Santa Cruz ,Santa,ArizonaSanta,28.7,20.4
Arizona,Yavapai ,Yavapai,ArizonaYavapai,25.8,25.9
Arizona,Yuma ,Yuma,ArizonaYuma,25.7,15
Arkansas,Arkansas,Arkansas,ArkansasArkansas,34,23
Arkansas,Ashley ,Ashley,ArkansasAshley,43.7,12.3
Arkansas,Clark ,Clark,ArkansasClark,30.2,26.6
Arkansas,Crittenden ,Crittenden,ArkansasCrittenden,34.8,17.4
Arkansas,Garland ,Garland,ArkansasGarland,31.4,21.6
Arkansas,Grant ,Grant,ArkansasGrant,43.8,18.7
Arkansas,Jackson ,Jackson,ArkansasJackson,42.5,10.1
Arkansas,Newton ,Newton,ArkansasNewton,35.4,20.5
Arkansas,Polk ,Polk,ArkansasPolk,36.5,14.1
Arkansas,Pope ,Pope,ArkansasPope,35.2,22.8
Arkansas,Prairie ,Prairie,ArkansasPrairie,39.9,15.4
Arkansas,Pulaski ,Pulaski,ArkansasPulaski,26,34.3
Arkansas,Union ,Union,ArkansasUnion,35.5,21.1
Arkansas,Van Buren ,Van,ArkansasVan,42.6,14.5
Arkansas,Washington ,Washington,ArkansasWashington,25.7,33.3
Arkansas,White ,White,ArkansasWhite,39.3,20.9
Arkansas,Woodruff ,Woodruff,ArkansasWoodruff,43.8,14
Arkansas,Yell ,Yell,ArkansasYell,40,12.8
California,California,California,CaliforniaCalifornia,20.5,33.9
California,Alameda ,Alameda,CaliforniaAlameda,17.6,47.4
California,Alpine ,Alpine,CaliforniaAlpine,28.1,34.5
California,Amador ,Amador,CaliforniaAmador,27.5,19.3
California,Butte ,Butte,CaliforniaButte,22.5,27.2
California,Calaveras ,Calaveras,CaliforniaCalaveras,28,18.3
California,Colusa ,Colusa,CaliforniaColusa,26.2,15
California,Contra Costa ,Contra,CaliforniaContra,17.3,42.4
California,Del Norte ,Del,CaliforniaDel,31,14.8
California,El Dorado ,El,CaliforniaEl,21.3,34.3
