,Unnamed: 0_x,State_x,County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Unnamed: 0_y,State_y,Area_name,First Word of Each County,Abbreivation,# Employed,# Unemployed
0,0,Alabama,Baldwin,AlabamaBaldwin,2020,74,49,36,27.7,31.9,3,Alabama,"Baldwin County, AL",Baldwin,AlabamaBaldwin,91338,5425
1,1,Alabama,Russell,AlabamaRussell,2020,99,56,36,31.4,17.8,58,Alabama,"Russell County, AL",Russell,AlabamaRussell,22290,1210
2,2,Alabama,Shelby,AlabamaShelby,2020,71,46,28,19.8,42.9,60,Alabama,"Shelby County, AL",Shelby,AlabamaShelby,109646,4402
3,3,Alabama,Sumter,AlabamaSumter,2020,70,43,29,35.4,21.6,61,Alabama,"Sumter County, AL",Sumter,AlabamaSumter,4414,331
4,4,Alabama,Tuscaloosa,AlabamaTuscaloosa,2020,97,45,31,29.9,30.7,64,Alabama,"Tuscaloosa County, AL",Tuscaloosa,AlabamaTuscaloosa,95473,6749
5,8,Alaska,Denali ,AlaskaDenali,2020,54,42,33,26.0,41.1,75,Alaska,"Denali Borough, AK",Denali,AlaskaDenali,573,107
6,9,Alaska,Fairbanks North Star ,AlaskaFairbanks,2020,170,106,33,22.6,31.4,77,Alaska,"Fairbanks North Star Borough, AK",Fairbanks,AlaskaFairbanks,41838,2841
7,10,Alaska,Juneau ,AlaskaJuneau,2020,101,40,14,21.6,38.4,80,Alaska,"Juneau Borough/city, AK",Juneau,AlaskaJuneau,15293,1081
8,11,Alaska,Kenai Peninsula ,AlaskaKenai,2020,43,15,8,31.2,24.6,81,Alaska,"Kenai Peninsula Borough, AK",Kenai,AlaskaKenai,23948,2393
9,12,Alaska,Matanuska-Susitna ,AlaskaMatanuska-Susitna,2020,103,45,14,33.1,21.6,86,Alaska,"Matanuska-Susitna Borough, AK",Matanuska-Susitna,AlaskaMatanuska-Susitna,43858,3990
10,13,Alaska,North Slope ,AlaskaNorth,2020,36,12,5,43.0,16.5,88,Alaska,"North Slope Borough, AK",North,AlaskaNorth,3011,189
11,14,Arizona,Apache,ArizonaApache,2020,58,29,14,32.2,12.3,100,Arizona,"Apache County, AZ",Apache,ArizonaApache,17614,2581
12,15,Arizona,Cochise,ArizonaCochise,2020,108,61,45,24.1,23.1,101,Arizona,"Cochise County, AZ",Cochise,ArizonaCochise,48368,3627
13,16,Arizona,Coconino,ArizonaCoconino,2020,93,54,44,22.0,36.2,102,Arizona,"Coconino County, AZ",Coconino,ArizonaCoconino,67985,7295
14,17,Arizona,Gila,ArizonaGila,2020,174,77,47,27.9,18.7,103,Arizona,"Gila County, AZ",Gila,ArizonaGila,19387,1621
15,18,Arizona,La Paz,ArizonaLa,2020,125,58,44,31.1,12.0,106,Arizona,"La Paz County, AZ",La,ArizonaLa,8343,636
16,19,Arizona,Maricopa,ArizonaMaricopa,2020,282,215,112,22.4,32.7,107,Arizona,"Maricopa County, AZ",Maricopa,ArizonaMaricopa,2159267,172361
17,20,Arizona,Mohave,ArizonaMohave,2020,116,34,18,35.3,12.9,108,Arizona,"Mohave County, AZ",Mohave,ArizonaMohave,79889,8854
18,21,Arizona,Navajo,ArizonaNavajo,2020,136,54,43,30.3,15.3,109,Arizona,"Navajo County, AZ",Navajo,ArizonaNavajo,36322,4097
19,22,Arizona,Pima,ArizonaPima,2020,277,77,53,22.2,32.4,110,Arizona,"Pima County, AZ",Pima,ArizonaPima,457683,38308
