,Unnamed: 0,State,County,Abbreviation,Year,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
0,0,Alabama,Baldwin,AlabamaBaldwin,2020,74,49,36,27.7,31.9
1,1,Alabama,Russell,AlabamaRussell,2020,99,56,36,31.4,17.8
2,2,Alabama,Shelby,AlabamaShelby,2020,71,46,28,19.8,42.9
3,3,Alabama,Sumter,AlabamaSumter,2020,70,43,29,35.4,21.6
4,4,Alabama,Tuscaloosa,AlabamaTuscaloosa,2020,97,45,31,29.9,30.7
5,8,Alaska,Denali ,AlaskaDenali,2020,54,42,33,26.0,41.1
6,9,Alaska,Fairbanks North Star ,AlaskaFairbanks,2020,170,106,33,22.6,31.4
7,10,Alaska,Juneau ,AlaskaJuneau,2020,101,40,14,21.6,38.4
8,11,Alaska,Kenai Peninsula ,AlaskaKenai,2020,43,15,8,31.2,24.6
9,12,Alaska,Matanuska-Susitna ,AlaskaMatanuska-Susitna,2020,103,45,14,33.1,21.6
10,13,Alaska,North Slope ,AlaskaNorth,2020,36,12,5,43.0,16.5
11,14,Arizona,Apache,ArizonaApache,2020,58,29,14,32.2,12.3
12,15,Arizona,Cochise,ArizonaCochise,2020,108,61,45,24.1,23.1
13,16,Arizona,Coconino,ArizonaCoconino,2020,93,54,44,22.0,36.2
14,17,Arizona,Gila,ArizonaGila,2020,174,77,47,27.9,18.7
15,18,Arizona,La Paz,ArizonaLa,2020,125,58,44,31.1,12.0
16,19,Arizona,Maricopa,ArizonaMaricopa,2020,282,215,112,22.4,32.7
17,20,Arizona,Mohave,ArizonaMohave,2020,116,34,18,35.3,12.9
18,21,Arizona,Navajo,ArizonaNavajo,2020,136,54,43,30.3,15.3
19,22,Arizona,Pima,ArizonaPima,2020,277,77,53,22.2,32.4
20,23,Arizona,Pinal,ArizonaPinal,2020,1124,119,72,29.3,19.5
21,24,Arizona,Santa Cruz,ArizonaSanta,2020,165,69,34,28.7,20.4
22,25,Arizona,Yavapai,ArizonaYavapai,2020,119,61,45,25.8,25.9
23,26,Arizona,Yuma,ArizonaYuma,2020,321,69,44,25.7,15.0
24,27,Arkansas,Arkansas,ArkansasArkansas,2020,82,50,27,34.0,23.0
25,28,Arkansas,Ashley,ArkansasAshley,2020,89,49,28,43.7,12.3
26,29,Arkansas,Clark,ArkansasClark,2020,67,40,29,30.2,26.6
27,30,Arkansas,Crittenden,ArkansasCrittenden,2020,115,54,38,34.8,17.4
28,31,Arkansas,Garland,ArkansasGarland,2020,83,53,29,31.4,21.6
29,32,Arkansas,Jackson,ArkansasJackson,2020,77,51,26,42.5,10.1
30,33,Arkansas,Newton,ArkansasNewton,2020,84,45,35,35.4,20.5
31,34,Arkansas,Polk,ArkansasPolk,2020,84,47,36,36.5,14.1
32,35,Arkansas,Pulaski,ArkansasPulaski,2020,132,59,42,26.0,34.3
33,36,Arkansas,Union,ArkansasUnion,2020,89,52,34,35.5,21.1
34,37,Arkansas,Washington,ArkansasWashington,2020,150,52,39,25.7,33.3
35,38,California,Alameda,CaliforniaAlameda,2020,218,79,43,17.6,47.4
36,39,California,Amador,CaliforniaAmador,2020,156,50,37,27.5,19.3
37,40,California,Butte,CaliforniaButte,2020,379,110,51,22.5,27.2
38,41,California,Calaveras,CaliforniaCalaveras,2020,192,77,44,28.0,18.3
39,42,California,Colusa,CaliforniaColusa,2020,198,86,38,26.2,15.0
40,43,California,Contra Costa,CaliforniaContra,2020,197,74,41,17.3,42.4
41,44,California,Del Norte,CaliforniaDel,2020,220,55,32,31.0,14.8
42,45,California,El Dorado,CaliforniaEl,2020,190,90,43,21.3,34.3
43,46,California,Fresno,CaliforniaFresno,2020,298,153,74,22.7,21.2
44,47,California,Glenn,CaliforniaGlenn,2020,197,82,43,27.2,14.2
45,48,California,Humboldt,CaliforniaHumboldt,2020,109,44,29,22.2,30.4
46,49,California,Imperial,CaliforniaImperial,2020,166,97,58,24.3,15.2
47,50,California,Inyo,CaliforniaInyo,2020,684,130,52,28.6,27.2
48,51,California,Kern,CaliforniaKern,2020,267,140,81,27.8,16.4
49,52,California,Kings,CaliforniaKings,2020,543,124,67,25.3,14.7
50,53,California,Lake,CaliforniaLake,2020,180,43,32,30.5,15.5
51,54,California,Los Angeles,CaliforniaLos,2020,235,165,83,20.6,32.5
52,55,California,Madera,CaliforniaMadera,2020,250,113,61,24.9,14.6
53,56,California,Marin,CaliforniaMarin,2020,206,57,33,10.5,59.5
54,57,California,Mariposa,CaliforniaMariposa,2020,618,111,47,24.4,24.6
55,58,California,Mendocino,CaliforniaMendocino,2020,456,76,34,25.0,24.4
56,59,California,Merced,CaliforniaMerced,2020,183,95,53,25.3,13.8
57,60,California,Mono,CaliforniaMono,2020,1928,199,40,24.2,28.8
