State,County,Abbreviation,Max AQI,90th Percentile AQI,Median AQI,"Percent of adults with a high school diploma only, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",# Employed,# Unemployed,Male,Female,Median Age,Population (2014-2020),Total Votes 2020,Votes 2020 Donald Trump,Votes 2020  Joe Biden,Income,Professional,Service,Office,Construction,Production,WorkAtHome,Mean Commute (minutes),Batteries,CoalIntegratedGasificationCombinedCycle,ConventionalHydroelectric,ConventionalSteamCoal,Flywheels,Geothermal,HydroelectricPumpedStorage,LandfillGas,MunicipalSolidWaste,NaturalGasFiredCombinedCycle,NaturalGasFiredCombustionTurbine,NaturalGasInternalCombustionEngine,NaturalGasSteamTurbine,NaturalGaswithCompressedAirStorage,Nuclear,OffshoreWindTurbine,OnshoreWindTurbine,OtherGases,OtherNaturalGas,OtherWasteBiomass,PetroleumCoke,PetroleumLiquids,SolarPhotovoltaic,SolarThermalwithEnergyStorage,SolarThermalwithoutEnergyStorage,Wood/WoodWasteBiomass,Percent of people in poverty 2019
Alabama,Baldwin,AlabamaBaldwin,74,49,36,27.7,31.9,4.960651498,3.734399743,5.005129012,5.029054888,42.8,5.318286689,5.037207303,4.919365783,4.386391939,52562,35.7,18.2,25.6,9.7,10.8,5.6,27,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1
Alabama,Russell,AlabamaRussell,99,56,36,31.4,17.8,4.348110068,3.08278537,4.449077089,4.478407754,35.9,4.765019981,4.324447086,3.991048776,4.044461361,38988,28.7,20.2,25.2,9.4,16.4,2.8,24.1,0,0,6,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,2,0,0,0,2,18.9
Alabama,Shelby,AlabamaShelby,71,46,28,19.8,42.9,5.039992793,3.643650038,5.010630641,5.036561032,38.9,5.324819331,5.058574054,4.899973627,4.518987457,74063,44.3,13.7,26.8,7.4,7.7,4.9,28,0,0,0,1,0,0,0,0,0,6,28,0,5,0,0,0,0,0,0,0,0,17,4,0,0,0,6.2
Indiana,Shelby,IndianaShelby,115,46,32,42.4,18.7,4.331285546,3.215637563,4.341256417,4.351371077,41,4.647373189,4.301398989,4.163399933,3.700963178,57216,28.7,17.1,19.9,11.4,22.9,2.5,23.5,0,0,0,1,0,0,0,0,0,6,28,0,5,0,0,0,0,0,0,0,0,17,4,0,0,0,10.1
Tennessee,Shelby,TennesseeShelby,152,61,44,27.5,31.6,5.606926041,4.636106593,5.649329016,5.691091222,35.4,5.971741908,5.581901894,5.11241395,5.389534635,48415,35.1,18,24.7,6.8,15.3,3.2,22.9,0,0,0,1,0,0,0,0,0,6,28,0,5,0,0,0,0,0,0,0,0,17,4,0,0,0,17.2
Alabama,Sumter,AlabamaSumter,70,43,29,35.4,21.6,3.644832329,2.519827994,3.779163424,3.843295083,35.8,4.113441954,3.798097932,3.203576775,3.666424373,21663,25.5,26.9,22.6,4.9,20.1,1.8,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36.4
Georgia,Sumter,GeorgiaSumter,64,44,32,34.7,18.3,4.064495427,2.965671971,4.157124196,4.203929937,35.5,4.482187314,4.084576278,3.758306182,3.800579622,34219,31.2,17.8,20.6,9,21.4,3.3,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26.7
Alabama,Tuscaloosa,AlabamaTuscaloosa,97,45,31,29.9,30.7,4.979880569,3.829239428,4.997993273,5.02805858,32.7,5.31431604,4.953082844,4.707237942,4.574193374,50513,35.8,17.5,20.9,8.7,17.2,3.1,22.3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2
Arizona,Apache,ArizonaApache,58,29,14,32.2,12.3,4.245857992,3.411788005,4.5470359,4.559691219,34.7,4.85443965,4.536520566,4.050766311,4.356599436,32360,29.7,25.4,20.6,11.5,12.8,6.2,26.7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,33.4
Arizona,Cochise,ArizonaCochise,108,61,45,24.1,23.1,4.68455813,3.559547556,4.807095099,4.793399204,40.6,5.101331134,4.760965013,4.526080692,4.361671185,47847,34.4,24.3,24.1,10.1,7.2,4.4,20.5,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,1,6,0,0,0,16.6
Arizona,Coconino,ArizonaCoconino,93,54,44,22,36.2,4.832413102,3.863025296,4.838332666,4.853083439,30.6,5.146800671,4.864356796,4.432054868,4.649422488,53523,36.5,22.7,22.5,8.4,9.9,4.8,18.4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,15.9
Arizona,Maricopa,ArizonaMaricopa,282,215,112,22.4,32.7,6.334306348,5.236439005,6.323075664,6.332391594,36.1,6.628788604,6.314638778,5.997251356,6.016349623,58580,37.4,18.1,26.7,8.4,9.5,6.4,25.8,1,0,8,0,0,0,6,2,0,53,16,0,5,0,3,0,0,0,0,0,0,0,56,2,0,0,12.2
Arizona,Mohave,ArizonaMohave,116,34,18,35.3,12.9,4.902486985,3.947139518,5.017229563,5.008672548,50.9,5.314002126,5.019809776,4.895057718,4.39499421,41567,24.3,25.4,26.8,10.9,12.7,3.1,20.4,0,0,15,0,0,0,0,0,0,6,2,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,16
Arizona,Navajo,ArizonaNavajo,136,54,43,30.3,15.3,4.560169754,3.612465964,4.73665939,4.73377487,36.4,5.03624952,4.714052997,4.44180507,4.36890023,38798,29.3,24.7,22.8,11.7,11.5,6.6,21.6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,25.2
Arizona,Pima,ArizonaPima,277,77,53,22.2,32.4,5.660564781,4.583289479,5.700599024,5.71419811,38.3,6.008481789,5.708528823,5.307341975,5.478195528,48676,36.4,21.5,24.9,8.7,8.5,4.8,24.5,2,0,0,0,0,0,0,0,0,2,7,10,2,0,0,0,0,0,0,0,0,0,25,0,0,0,14
