County,State,Abbreviation,Male,Female,Median Age,Population (2014-2020)
Autauga,Alabama,AlabamaAutauga,26874,28326,37.8,55200
Baldwin,Alabama,AlabamaBaldwin,101188,106919,42.8,208107
Barbour,Alabama,AlabamaBarbour,13697,12085,39.9,25782
Bibb,Alabama,AlabamaBibb,12152,10375,39.9,22527
Blount,Alabama,AlabamaBlount,28434,29211,40.8,57645
Bullock,Alabama,AlabamaBullock,5663,4689,39.6,10352
Butler,Alabama,AlabamaButler,9368,10657,40.7,20025
Calhoun,Alabama,AlabamaCalhoun,55315,59783,39.7,115098
Chambers,Alabama,AlabamaChambers,16257,17569,43,33826
Cherokee,Alabama,AlabamaCherokee,12820,13033,45.9,25853
Chilton,Alabama,AlabamaChilton,21672,22258,38.6,43930
Choctaw,Alabama,AlabamaChoctaw,6253,6822,46.1,13075
Clarke,Alabama,AlabamaClarke,11539,12848,42.3,24387
Clay,Alabama,AlabamaClay,6464,6914,43.7,13378
Cleburne,Alabama,AlabamaCleburne,7281,7657,42.5,14938
Coffee,Alabama,AlabamaCoffee,25314,25974,39.3,51288
Colbert,Alabama,AlabamaColbert,26075,28420,42.7,54495
Conecuh,Alabama,AlabamaConecuh,6037,6477,44.8,12514
Coosa,Alabama,AlabamaCoosa,5501,5354,46.9,10855
Covington,Alabama,AlabamaCovington,18172,19179,43.9,37351
Crenshaw,Alabama,AlabamaCrenshaw,6814,7051,41.5,13865
Cullman,Alabama,AlabamaCullman,40560,41753,40.6,82313
Dale,Alabama,AlabamaDale,24234,25021,37.5,49255
Dallas,Alabama,AlabamaDallas,18448,21581,39.5,40029
DeKalb,Alabama,AlabamaDeKalb,35304,35896,39.3,71200
Elmore,Alabama,AlabamaElmore,39450,41762,38.6,81212
Escambia,Alabama,AlabamaEscambia,19067,18261,39.7,37328
Etowah,Alabama,AlabamaEtowah,49651,53288,41.3,102939
Fayette,Alabama,AlabamaFayette,8170,8415,43.8,16585
Franklin,Alabama,AlabamaFranklin,15602,15940,37.6,31542
Geneva,Alabama,AlabamaGeneva,12971,13520,42.4,26491
Greene,Alabama,AlabamaGreene,3950,4476,42.5,8426
Hale,Alabama,AlabamaHale,7019,7868,39.2,14887
Henry,Alabama,AlabamaHenry,8232,8892,44.1,17124
Houston,Alabama,AlabamaHouston,50029,54323,39.8,104352
Jackson,Alabama,AlabamaJackson,25536,26558,43.3,52094
Jefferson,Alabama,AlabamaJefferson,312348,347544,37.7,659892
Lamar,Alabama,AlabamaLamar,6800,7133,44.5,13933
Lauderdale,Alabama,AlabamaLauderdale,44315,48270,41.4,92585
Lawrence,Alabama,AlabamaLawrence,16003,17168,42.2,33171
Lee,Alabama,AlabamaLee,78372,80915,31.4,159287
Limestone,Alabama,AlabamaLimestone,46427,46625,39.5,93052
Lowndes,Alabama,AlabamaLowndes,4830,5406,41.6,10236
Macon,Alabama,AlabamaMacon,8790,10264,38,19054
Madison,Alabama,AlabamaMadison,174665,182895,38.5,357560
Marengo,Alabama,AlabamaMarengo,9446,10092,42.7,19538
Marion,Alabama,AlabamaMarion,14898,15067,44.3,29965
Marshall,Alabama,AlabamaMarshall,46977,48168,38.7,95145
Mobile,Alabama,AlabamaMobile,197928,216731,37.6,414659
Monroe,Alabama,AlabamaMonroe,10230,11282,42.3,21512
Montgomery,Alabama,AlabamaMontgomery,107354,119587,36.2,226941
Morgan,Alabama,AlabamaMorgan,58660,60462,40.4,119122
Perry,Alabama,AlabamaPerry,4436,5050,37.7,9486
Pickens,Alabama,AlabamaPickens,9708,10590,42.4,20298
Pike,Alabama,AlabamaPike,16027,17376,30.8,33403
Randolph,Alabama,AlabamaRandolph,10989,11585,42.7,22574
Russell,Alabama,AlabamaRussell,28124,30089,35.9,58213
St.Clair,Alabama,AlabamaSt.Clair,43755,43551,40.3,87306
Shelby,Alabama,AlabamaShelby,102478,108783,38.9,211261
Sumter,Alabama,AlabamaSumter,6014,6971,35.8,12985
Talladega,Alabama,AlabamaTalladega,39156,41409,41.1,80565
Tallapoosa,Alabama,AlabamaTallapoosa,19517,21119,43.7,40636
Tuscaloosa,Alabama,AlabamaTuscaloosa,99539,106674,32.7,206213
Walker,Alabama,AlabamaWalker,31506,32987,42.4,64493
Washington,Alabama,AlabamaWashington,8420,8223,43.6,16643
Wilcox,Alabama,AlabamaWilcox,5134,5675,40.8,10809
Winston,Alabama,AlabamaWinston,11840,12035,44.9,23875
Aleutians,Alaska,AlaskaAleutians,1989,1436,42.7,3425
Aleutians,Alaska,AlaskaAleutians,3432,2318,37.6,5750
Anchorage,Alaska,AlaskaAnchorage,151144,144968,33.2,296112
Bethel,Alaska,AlaskaBethel,9381,8659,27.1,18040
Bristol,Alaska,AlaskaBristol,526,364,41.8,890
Denali,Alaska,AlaskaDenali,1117,1115,43.1,2232
